,date,average_price,date.1,city
0,2015-04-05,174.63194444444446,2015-04-05,amsterdam
1,2015-04-06,160.25701288855194,2015-04-06,amsterdam
2,2015-04-07,157.15336948102242,2015-04-07,amsterdam
3,2015-04-08,161.44329004329003,2015-04-08,amsterdam
4,2015-04-09,159.9408224674022,2015-04-09,amsterdam
5,2015-04-10,171.12449255751014,2015-04-10,amsterdam
6,2015-04-11,166.58636897767332,2015-04-11,amsterdam
7,2015-04-12,151.00920245398774,2015-04-12,amsterdam
8,2015-04-13,151.58894645941274,2015-04-13,amsterdam
9,2015-04-14,152.3605125218404,2015-04-14,amsterdam
10,2015-04-15,156.40115163147792,2015-04-15,amsterdam
11,2015-04-16,158.13647851727043,2015-04-16,amsterdam
12,2015-04-17,174.49473684210525,2015-04-17,amsterdam
13,2015-04-18,180.11705685618733,2015-04-18,amsterdam
14,2015-04-19,159.57902298850576,2015-04-19,amsterdam
15,2015-04-20,156.5003099814011,2015-04-20,amsterdam
16,2015-04-21,155.62900505902192,2015-04-21,amsterdam
17,2015-04-22,156.66209773539927,2015-04-22,amsterdam
18,2015-04-23,162.88652482269504,2015-04-23,amsterdam
19,2015-04-24,188.19117647058826,2015-04-24,amsterdam
20,2015-04-25,205.08737864077668,2015-04-25,amsterdam
21,2015-04-26,225.4937198067633,2015-04-26,amsterdam
22,2015-04-27,220.519512195122,2015-04-27,amsterdam
23,2015-04-28,179.0177514792899,2015-04-28,amsterdam
24,2015-04-29,166.29594523433389,2015-04-29,amsterdam
25,2015-04-30,165.9893697798026,2015-04-30,amsterdam
26,2015-05-01,181.21870047543584,2015-05-01,amsterdam
27,2015-05-02,181.95896656534958,2015-05-02,amsterdam
28,2015-05-03,161.5342763873776,2015-05-03,amsterdam
29,2015-05-04,155.57994923857868,2015-05-04,amsterdam
30,2015-05-05,155.48497495826373,2015-05-05,amsterdam
31,2015-05-06,153.0025,2015-05-06,amsterdam
32,2015-05-07,152.63936781609198,2015-05-07,amsterdam
33,2015-05-08,160.41951522684897,2015-05-08,amsterdam
34,2015-05-09,157.4141592920354,2015-05-09,amsterdam
35,2015-05-10,150.13830645161292,2015-05-10,amsterdam
36,2015-05-11,149.26958174904942,2015-05-11,amsterdam
37,2015-05-12,149.3675572519084,2015-05-12,amsterdam
38,2015-05-13,152.3028109028961,2015-05-13,amsterdam
39,2015-05-14,157.80414887126298,2015-05-14,amsterdam
40,2015-05-15,159.48086290883785,2015-05-15,amsterdam
41,2015-05-16,159.71709233791745,2015-05-16,amsterdam
42,2015-05-17,151.18843509906998,2015-05-17,amsterdam
43,2015-05-18,146.74774774774775,2015-05-18,amsterdam
44,2015-05-19,145.187118902439,2015-05-19,amsterdam
45,2015-05-20,146.82551883166798,2015-05-20,amsterdam
46,2015-05-21,148.61016949152545,2015-05-21,amsterdam
47,2015-05-22,156.68996671421775,2015-05-22,amsterdam
48,2015-05-23,159.91258351893094,2015-05-23,amsterdam
49,2015-05-24,155.8021653543307,2015-05-24,amsterdam
50,2015-05-25,152.7215580408793,2015-05-25,amsterdam
51,2015-05-26,148.10768072289156,2015-05-26,amsterdam
52,2015-05-27,147.6969696969697,2015-05-27,amsterdam
53,2015-05-28,147.7439556084027,2015-05-28,amsterdam
54,2015-05-29,150.2607785684387,2015-05-29,amsterdam
55,2015-05-30,150.69318662716884,2015-05-30,amsterdam
56,2015-05-31,145.7198016294722,2015-05-31,amsterdam
57,2015-06-01,143.92740841248303,2015-06-01,amsterdam
58,2015-06-02,142.70087976539588,2015-06-02,amsterdam
59,2015-06-03,142.5655871769709,2015-06-03,amsterdam
60,2015-06-04,142.57976519337018,2015-06-04,amsterdam
61,2015-06-05,147.33728222996515,2015-06-05,amsterdam
62,2015-06-06,147.71240013893714,2015-06-06,amsterdam
63,2015-06-07,142.36025798525802,2015-06-07,amsterdam
64,2015-06-08,141.3281582952816,2015-06-08,amsterdam
65,2015-06-09,140.68026796589524,2015-06-09,amsterdam
66,2015-06-10,141.39058679706605,2015-06-10,amsterdam
67,2015-06-11,141.56376047161032,2015-06-11,amsterdam
68,2015-06-12,145.97506925207756,2015-06-12,amsterdam
69,2015-06-13,145.90771604938269,2015-06-13,amsterdam
70,2015-06-14,142.10193889541716,2015-06-14,amsterdam
71,2015-06-15,141.38328873030034,2015-06-15,amsterdam
72,2015-06-16,140.97409943435542,2015-06-16,amsterdam
73,2015-06-17,141.03452345824724,2015-06-17,amsterdam
74,2015-06-18,141.54904920012075,2015-06-18,amsterdam
75,2015-06-19,147.2362920327174,2015-06-19,amsterdam
76,2015-06-20,147.0261875761267,2015-06-20,amsterdam
77,2015-06-21,141.35653450807638,2015-06-21,amsterdam
78,2015-06-22,140.20647653000594,2015-06-22,amsterdam
79,2015-06-23,139.98669819686668,2015-06-23,amsterdam
80,2015-06-24,140.19708680142688,2015-06-24,amsterdam
81,2015-06-25,140.12545344619105,2015-06-25,amsterdam
82,2015-06-26,145.0225334957369,2015-06-26,amsterdam
83,2015-06-27,144.9242658423493,2015-06-27,amsterdam
84,2015-06-28,139.03172250222354,2015-06-28,amsterdam
85,2015-06-29,139.07547723935392,2015-06-29,amsterdam
86,2015-06-30,139.29387990762126,2015-06-30,amsterdam
87,2015-07-01,139.18522792844777,2015-07-01,amsterdam
88,2015-07-02,139.36208393632415,2015-07-02,amsterdam
89,2015-07-03,145.4763406940063,2015-07-03,amsterdam
90,2015-07-04,150.7529171528588,2015-07-04,amsterdam
91,2015-07-05,143.34755755193711,2015-07-05,amsterdam
92,2015-07-06,143.4216171617161,2015-07-06,amsterdam
93,2015-07-07,143.77838427947597,2015-07-07,amsterdam
94,2015-07-08,143.88171459576773,2015-07-08,amsterdam
95,2015-07-09,144.04866180048663,2015-07-09,amsterdam
96,2015-07-10,148.70158730158732,2015-07-10,amsterdam
97,2015-07-11,149.0055821371611,2015-07-11,amsterdam
98,2015-07-12,144.10981741201374,2015-07-12,amsterdam
99,2015-07-13,144.91015729138897,2015-07-13,amsterdam
100,2015-07-14,144.98413118222692,2015-07-14,amsterdam
101,2015-07-15,145.28279118572928,2015-07-15,amsterdam
102,2015-07-16,145.75647397331937,2015-07-16,amsterdam
103,2015-07-17,149.91092176607282,2015-07-17,amsterdam
104,2015-07-18,149.8871635610766,2015-07-18,amsterdam
105,2015-07-19,144.69835136527564,2015-07-19,amsterdam
106,2015-07-20,144.22277099038212,2015-07-20,amsterdam
107,2015-07-21,144.35936689154124,2015-07-21,amsterdam
108,2015-07-22,144.2563036132051,2015-07-22,amsterdam
109,2015-07-23,144.70957695302363,2015-07-23,amsterdam
110,2015-07-24,149.4661344321401,2015-07-24,amsterdam
111,2015-07-25,149.32114344578937,2015-07-25,amsterdam
112,2015-07-26,144.60764068146617,2015-07-26,amsterdam
113,2015-07-27,144.3852587558808,2015-07-27,amsterdam
114,2015-07-28,144.51431573417392,2015-07-28,amsterdam
115,2015-07-29,144.4778690697058,2015-07-29,amsterdam
116,2015-07-30,145.8904852263486,2015-07-30,amsterdam
117,2015-07-31,150.84206151288444,2015-07-31,amsterdam
118,2015-08-01,151.34215658957928,2015-08-01,amsterdam
119,2015-08-02,145.96585103522457,2015-08-02,amsterdam
120,2015-08-03,143.98309932397297,2015-08-03,amsterdam
121,2015-08-04,143.33763885300957,2015-08-04,amsterdam
122,2015-08-05,143.125,2015-08-05,amsterdam
123,2015-08-06,143.1224802245471,2015-08-06,amsterdam
124,2015-08-07,148.03212851405618,2015-08-07,amsterdam
125,2015-08-08,147.28453659755183,2015-08-08,amsterdam
126,2015-08-09,142.19322709163347,2015-08-09,amsterdam
127,2015-08-10,141.8749686795289,2015-08-10,amsterdam
128,2015-08-11,142.1999496348527,2015-08-11,amsterdam
129,2015-08-12,142.43429003021146,2015-08-12,amsterdam
130,2015-08-13,142.76723704076497,2015-08-13,amsterdam
