date,average_price,date
2015-04-05,174.63194444444446,2015-04-05
2015-04-06,160.25701288855194,2015-04-06
2015-04-07,157.15336948102242,2015-04-07
2015-04-08,161.44329004329003,2015-04-08
2015-04-09,159.9408224674022,2015-04-09
2015-04-10,171.12449255751014,2015-04-10
2015-04-11,166.58636897767332,2015-04-11
2015-04-12,151.00920245398774,2015-04-12
2015-04-13,151.58894645941274,2015-04-13
2015-04-14,152.3605125218404,2015-04-14
2015-04-15,156.40115163147792,2015-04-15
2015-04-16,158.13647851727043,2015-04-16
2015-04-17,174.49473684210525,2015-04-17
2015-04-18,180.11705685618733,2015-04-18
2015-04-19,159.57902298850576,2015-04-19
2015-04-20,156.5003099814011,2015-04-20
2015-04-21,155.62900505902192,2015-04-21
2015-04-22,156.66209773539927,2015-04-22
2015-04-23,162.88652482269504,2015-04-23
2015-04-24,188.19117647058826,2015-04-24
2015-04-25,205.08737864077668,2015-04-25
2015-04-26,225.4937198067633,2015-04-26
2015-04-27,220.519512195122,2015-04-27
2015-04-28,179.0177514792899,2015-04-28
2015-04-29,166.29594523433389,2015-04-29
2015-04-30,165.9893697798026,2015-04-30
2015-05-01,181.21870047543584,2015-05-01
2015-05-02,181.95896656534958,2015-05-02
2015-05-03,161.5342763873776,2015-05-03
2015-05-04,155.57994923857868,2015-05-04
2015-05-05,155.48497495826373,2015-05-05
2015-05-06,153.0025,2015-05-06
2015-05-07,152.63936781609198,2015-05-07
2015-05-08,160.41951522684897,2015-05-08
2015-05-09,157.4141592920354,2015-05-09
2015-05-10,150.13830645161292,2015-05-10
2015-05-11,149.26958174904942,2015-05-11
2015-05-12,149.3675572519084,2015-05-12
2015-05-13,152.3028109028961,2015-05-13
2015-05-14,157.80414887126298,2015-05-14
2015-05-15,159.48086290883785,2015-05-15
2015-05-16,159.71709233791745,2015-05-16
2015-05-17,151.18843509906998,2015-05-17
2015-05-18,146.74774774774775,2015-05-18
2015-05-19,145.187118902439,2015-05-19
2015-05-20,146.82551883166798,2015-05-20
2015-05-21,148.61016949152545,2015-05-21
2015-05-22,156.68996671421775,2015-05-22
2015-05-23,159.91258351893094,2015-05-23
2015-05-24,155.8021653543307,2015-05-24
2015-05-25,152.7215580408793,2015-05-25
2015-05-26,148.10768072289156,2015-05-26
2015-05-27,147.6969696969697,2015-05-27
2015-05-28,147.7439556084027,2015-05-28
2015-05-29,150.2607785684387,2015-05-29
2015-05-30,150.69318662716884,2015-05-30
2015-05-31,145.7198016294722,2015-05-31
2015-06-01,143.92740841248303,2015-06-01
2015-06-02,142.70087976539588,2015-06-02
2015-06-03,142.5655871769709,2015-06-03
2015-06-04,142.57976519337018,2015-06-04
2015-06-05,147.33728222996515,2015-06-05
2015-06-06,147.71240013893714,2015-06-06
2015-06-07,142.36025798525802,2015-06-07
2015-06-08,141.3281582952816,2015-06-08
2015-06-09,140.68026796589524,2015-06-09
2015-06-10,141.39058679706605,2015-06-10
2015-06-11,141.56376047161032,2015-06-11
2015-06-12,145.97506925207756,2015-06-12
2015-06-13,145.90771604938269,2015-06-13
2015-06-14,142.10193889541716,2015-06-14
2015-06-15,141.38328873030034,2015-06-15
2015-06-16,140.97409943435542,2015-06-16
2015-06-17,141.03452345824724,2015-06-17
2015-06-18,141.54904920012075,2015-06-18
2015-06-19,147.2362920327174,2015-06-19
2015-06-20,147.0261875761267,2015-06-20
