date,average_price,date
2015-07-17,58.21028037383178,2015-07-17
2015-07-18,68.05970149253731,2015-07-18
2015-07-19,63.246867167919795,2015-07-19
2015-07-20,64.29482948294829,2015-07-20
2015-07-21,64.67202572347267,2015-07-21
2015-07-22,62.25894736842106,2015-07-22
2015-07-23,61.476141078838175,2015-07-23
2015-07-24,62.68860510805501,2015-07-24
2015-07-25,63.266536964980546,2015-07-25
2015-07-26,63.517625231910955,2015-07-26
2015-07-27,63.22113676731794,2015-07-27
2015-07-28,63.821966341895475,2015-07-28
2015-07-29,62.496007098491575,2015-07-29
2015-07-30,62.536954585930545,2015-07-30
2015-07-31,62.64638447971781,2015-07-31
2015-08-01,64.21428571428571,2015-08-01
2015-08-02,62.27303182579565,2015-08-02
2015-08-03,62.7312091503268,2015-08-03
2015-08-04,62.822805578342894,2015-08-04
2015-08-05,62.716541978387355,2015-08-05
2015-08-06,63.52588331963845,2015-08-06
2015-08-07,65.07244094488189,2015-08-07
2015-08-08,63.686963309914134,2015-08-08
2015-08-09,61.77078477078477,2015-08-09
2015-08-10,62.26702371843918,2015-08-10
2015-08-11,63.15575620767494,2015-08-11
2015-08-12,62.54686346863468,2015-08-12
2015-08-13,62.802478134110785,2015-08-13
2015-08-14,64.23684210526315,2015-08-14
2015-08-15,63.34160583941607,2015-08-15
2015-08-16,61.80100574712644,2015-08-16
2015-08-17,61.87140804597701,2015-08-17
2015-08-18,61.50385964912281,2015-08-18
2015-08-19,61.918918918918926,2015-08-19
2015-08-20,60.9993006993007,2015-08-20
2015-08-21,62.25928473177443,2015-08-21
2015-08-22,63.80578512396694,2015-08-22
2015-08-23,62.48092643051771,2015-08-23
2015-08-24,63.55280312907431,2015-08-24
2015-08-25,63.63524854744997,2015-08-25
2015-08-26,62.6381074168798,2015-08-26
2015-08-27,60.64906632324532,2015-08-27
2015-08-28,63.078104993597954,2015-08-28
2015-08-29,62.04183006535948,2015-08-29
2015-08-30,60.74823378291586,2015-08-30
2015-08-31,62.36317780580076,2015-08-31
2015-09-01,62.497527812113724,2015-09-01
2015-09-02,62.611111111111114,2015-09-02
2015-09-03,61.946473551637276,2015-09-03
2015-09-04,63.0031867431485,2015-09-04
2015-09-05,62.717571884984025,2015-09-05
2015-09-06,61.85499058380415,2015-09-06
2015-09-07,61.236579275905115,2015-09-07
2015-09-08,61.23409512044472,2015-09-08
2015-09-09,61.359422034918715,2015-09-09
2015-09-10,61.357185097575396,2015-09-10
2015-09-11,62.41200706297822,2015-09-11
2015-09-12,61.87522281639929,2015-09-12
2015-09-13,60.10720667063728,2015-09-13
2015-09-14,60.05132743362832,2015-09-14
2015-09-15,60.725132430841676,2015-09-15
2015-09-16,60.59222156747201,2015-09-16
2015-09-17,60.277350680070974,2015-09-17
2015-09-18,60.84724689165186,2015-09-18
2015-09-19,61.312238805970146,2015-09-19
2015-09-20,60.46808510638298,2015-09-20
2015-09-21,59.17002881844381,2015-09-21
2015-09-22,59.436280137772684,2015-09-22
2015-09-23,59.342410196987245,2015-09-23
2015-09-24,59.09682997118156,2015-09-24
2015-09-25,59.8132635253054,2015-09-25
2015-09-26,60.06782608695652,2015-09-26
2015-09-27,59.75745412844037,2015-09-27
2015-09-28,59.32386363636363,2015-09-28
2015-09-29,59.25491297024144,2015-09-29
2015-09-30,59.98885793871865,2015-09-30
2015-10-01,59.08056338028169,2015-10-01
2015-10-02,58.641422834193925,2015-10-02
2015-10-03,59.005175388154115,2015-10-03
2015-10-04,58.29054054054054,2015-10-04
2015-10-05,59.56461453133666,2015-10-05
2015-10-06,60.22869708631116,2015-10-06
2015-10-07,60.36150490730643,2015-10-07
2015-10-08,59.57880285557386,2015-10-08
2015-10-09,60.45524861878453,2015-10-09
2015-10-10,61.16336633663367,2015-10-10
2015-10-11,60.042904290429036,2015-10-11
2015-10-12,59.73543821448013,2015-10-12
2015-10-13,58.73423913043478,2015-10-13
2015-10-14,58.705754614549406,2015-10-14
2015-10-15,59.698541329011356,2015-10-15
2015-10-16,60.97962555066079,2015-10-16
2015-10-17,60.94554455445545,2015-10-17
2015-10-18,60.01423877327492,2015-10-18
2015-10-19,60.3876772082879,2015-10-19
2015-10-20,60.531880108991835,2015-10-20
2015-10-21,60.48663393344244,2015-10-21
2015-10-22,60.18480043739749,2015-10-22
2015-10-23,61.08087431693989,2015-10-23
2015-10-24,61.15245901639344,2015-10-24
2015-10-25,60.10983606557378,2015-10-25
2015-10-26,60.02508178844057,2015-10-26
2015-10-27,60.0342019543974,2015-10-27
2015-10-28,60.014578833693314,2015-10-28
2015-10-29,60.206119162640896,2015-10-29
2015-10-30,61.07423345884885,2015-10-30
2015-10-31,61.11515800749866,2015-10-31
2015-11-01,59.70095948827292,2015-11-01
2015-11-02,59.44586666666667,2015-11-02
2015-11-03,59.423159018143004,2015-11-03
2015-11-04,59.45333333333333,2015-11-04
2015-11-05,59.388648648648655,2015-11-05
2015-11-06,58.35075041689828,2015-11-06
2015-11-07,58.20056022408964,2015-11-07
2015-11-08,57.159598214285715,2015-11-08
2015-11-09,57.284615384615385,2015-11-09
2015-11-10,58.003244997295845,2015-11-10
2015-11-11,58.141479099678456,2015-11-11
2015-11-12,58.290977042178326,2015-11-12
2015-11-13,59.93793103448276,2015-11-13
2015-11-14,59.98409331919406,2015-11-14
2015-11-15,58.97669491525424,2015-11-15
2015-11-16,58.9540412044374,2015-11-16
2015-11-17,58.949841605068634,2015-11-17
2015-11-18,58.84241142252776,2015-11-18
2015-11-19,58.8298996302166,2015-11-19
2015-11-20,59.78605388272583,2015-11-20
2015-11-21,59.79375991538869,2015-11-21
2015-11-22,58.95308381655246,2015-11-22
2015-11-23,58.91618344754876,2015-11-23
2015-11-24,58.919431279620845,2015-11-24
2015-11-25,58.903055848261324,2015-11-25
2015-11-26,58.92793266701735,2015-11-26
2015-11-27,59.92162019989479,2015-11-27
2015-11-28,59.8997375328084,2015-11-28
2015-11-29,58.974882260596544,2015-11-29
2015-11-30,58.89272632129775,2015-11-30
2015-12-01,58.78082191780822,2015-12-01
2015-12-02,58.78609062170706,2015-12-02
2015-12-03,58.82824025289778,2015-12-03
2015-12-04,59.77608008429926,2015-12-04
2015-12-05,59.77356503422853,2015-12-05
2015-12-06,58.82439537329128,2015-12-06
2015-12-07,58.86586007364545,2015-12-07
2015-12-08,58.82640715412941,2015-12-08
2015-12-09,58.823343848580436,2015-12-09
2015-12-10,58.85444035733053,2015-12-10
2015-12-11,59.76260504201681,2015-12-11
2015-12-12,59.76210526315789,2015-12-12
2015-12-13,58.764458464773924,2015-12-13
2015-12-14,58.83289542827115,2015-12-14
2015-12-15,58.83648790746582,2015-12-15
