date,average_price,date
2016-11-07,100.75731261425959,2016-11-07
2016-11-08,90.20955652717052,2016-11-08
2016-11-09,87.7551982256723,2016-11-09
2016-11-10,87.98074117303764,2016-11-10
2016-11-11,90.99488491048594,2016-11-11
2016-11-12,90.28557934508815,2016-11-12
2016-11-13,84.89592301848569,2016-11-13
2016-11-14,82.3792868498751,2016-11-14
2016-11-15,81.8281494741553,2016-11-15
2016-11-16,82.85174889969886,2016-11-16
2016-11-17,84.00098522167487,2016-11-17
2016-11-18,86.85850809662861,2016-11-18
2016-11-19,86.80453333333334,2016-11-19
2016-11-20,82.88684944237919,2016-11-20
2016-11-21,81.77826086956522,2016-11-21
2016-11-22,81.86336076223473,2016-11-22
2016-11-23,81.87530562347189,2016-11-23
2016-11-24,82.20004701457452,2016-11-24
2016-11-25,84.47586206896551,2016-11-25
2016-11-26,84.04231738035264,2016-11-26
2016-11-27,81.46830445273086,2016-11-27
2016-11-28,80.8974465434918,2016-11-28
2016-11-29,80.31733714519093,2016-11-29
2016-11-30,79.86906943596009,2016-11-30
2016-12-01,79.93926019335855,2016-12-01
2016-12-02,82.33266622192573,2016-12-02
2016-12-03,82.82267441860466,2016-12-03
2016-12-04,80.06628123064216,2016-12-04
2016-12-05,80.00059453032104,2016-12-05
2016-12-06,79.52258444619011,2016-12-06
2016-12-07,79.82050267168019,2016-12-07
2016-12-08,82.70889851846945,2016-12-08
2016-12-09,98.45519499052676,2016-12-09
2016-12-10,88.999613073165,2016-12-10
2016-12-11,82.55089196021765,2016-12-11
2016-12-12,80.5355331536989,2016-12-12
2016-12-13,80.01416495176835,2016-12-13
2016-12-14,80.07909455773046,2016-12-14
2016-12-15,80.20791588102958,2016-12-15
2016-12-16,82.51402997990402,2016-12-16
2016-12-17,83.00367102636932,2016-12-17
2016-12-18,80.38519656329436,2016-12-18
2016-12-19,79.58324444701465,2016-12-19
2016-12-20,79.63282798166321,2016-12-20
2016-12-21,79.88018126336807,2016-12-21
2016-12-22,81.3290919066045,2016-12-22
2016-12-23,86.06986023854475,2016-12-23
2016-12-24,87.60430243365708,2016-12-24
2016-12-25,86.5140857691036,2016-12-25
2016-12-26,87.86920563064058,2016-12-26
2016-12-27,90.59912864611525,2016-12-27
2016-12-28,97.46936247997877,2016-12-28
2016-12-29,108.92958251596845,2016-12-29
2016-12-30,127.0573967030728,2016-12-30
2016-12-31,137.5460566638157,2016-12-31
2017-01-01,117.724962735357,2017-01-01
2017-01-02,96.74013362707356,2017-01-02
2017-01-03,88.77819994163164,2017-01-03
2017-01-04,82.8811080183417,2017-01-04
2017-01-05,79.9638084998785,2017-01-05
2017-01-06,77.31435026287932,2017-01-06
2017-01-07,76.18014266192108,2017-01-07
2017-01-08,73.82730468147186,2017-01-08
2017-01-09,72.55122130150902,2017-01-09
2017-01-10,72.542967425873,2017-01-10
2017-01-11,72.52512393602113,2017-01-11
2017-01-12,72.57191662011402,2017-01-12
2017-01-13,74.54987828991565,2017-01-13
2017-01-14,74.52444673682358,2017-01-14
2017-01-15,72.17894154194825,2017-01-15
2017-01-16,71.72668266794581,2017-01-16
2017-01-17,71.86038187345086,2017-01-17
2017-01-18,72.00088851990421,2017-01-18
2017-01-19,72.38333682690542,2017-01-19
2017-01-20,74.26934265587789,2017-01-20
2017-01-21,74.35076143156309,2017-01-21
2017-01-22,72.35057883175635,2017-01-22
2017-01-23,71.96531990851004,2017-01-23
2017-01-24,71.899044524086,2017-01-24
2017-01-25,72.03065732489749,2017-01-25
2017-01-26,72.635571402749,2017-01-26
2017-01-27,73.99390767778135,2017-01-27
2017-01-28,74.7169402699595,2017-01-28
2017-01-29,72.0996509049751,2017-01-29
2017-01-30,71.78995487760606,2017-01-30
2017-01-31,71.5664171312565,2017-01-31
2017-02-01,71.67685088179121,2017-02-01
2017-02-02,71.66046467383039,2017-02-02
2017-02-03,73.54920993414774,2017-02-03
2017-02-04,73.4650888121045,2017-02-04
2017-02-05,73.13644766401835,2017-02-05
2017-02-06,72.95172984909772,2017-02-06
2017-02-07,72.9440709063863,2017-02-07
2017-02-08,73.21932867807114,2017-02-08
2017-02-09,73.55246737794822,2017-02-09
2017-02-10,73.52473038715547,2017-02-10
2017-02-11,73.58360044581903,2017-02-11
2017-02-12,71.67300945893223,2017-02-12
2017-02-13,71.39115483032289,2017-02-13
2017-02-14,71.5659610577773,2017-02-14
2017-02-15,71.80404027246144,2017-02-15
2017-02-16,71.71368087763685,2017-02-16
2017-02-17,73.93870740927669,2017-02-17
2017-02-18,73.82953598722051,2017-02-18
2017-02-19,71.52611796069542,2017-02-19
2017-02-20,70.49205569962902,2017-02-20
2017-02-21,70.31914042144481,2017-02-21
2017-02-22,70.34027274941117,2017-02-22
2017-02-23,70.22287962194511,2017-02-23
2017-02-24,72.14695303344226,2017-02-24
2017-02-25,72.06080568194815,2017-02-25
2017-02-26,70.0292341217205,2017-02-26
2017-02-27,69.99457552620562,2017-02-27
2017-02-28,70.01101134922297,2017-02-28
2017-03-01,70.1951269886017,2017-03-01
2017-03-02,70.27257788824457,2017-03-02
2017-03-03,72.34090193640586,2017-03-03
2017-03-04,72.42055619360724,2017-03-04
2017-03-05,70.22894875734285,2017-03-05
2017-03-06,69.54787295186335,2017-03-06
2017-03-07,68.30174431418644,2017-03-07
2017-03-08,68.69042584387473,2017-03-08
2017-03-09,70.14997067910754,2017-03-09
2017-03-10,73.0488449317879,2017-03-10
2017-03-11,73.40641346576334,2017-03-11
2017-03-12,71.47859705847596,2017-03-12
2017-03-13,70.85428443500862,2017-03-13
2017-03-14,70.8299133780343,2017-03-14
2017-03-15,70.82431272739396,2017-03-15
2017-03-16,70.92265017048643,2017-03-16
2017-03-17,72.64153400616797,2017-03-17
2017-03-18,72.46498204632795,2017-03-18
2017-03-19,70.56003743362884,2017-03-19
2017-03-20,70.48064341545069,2017-03-20
2017-03-21,70.59473715428257,2017-03-21
2017-03-22,70.62592408430324,2017-03-22
2017-03-23,70.69433708549768,2017-03-23
2017-03-24,72.38042282139008,2017-03-24
2017-03-25,72.48722655671068,2017-03-25
2017-03-26,70.87145398163963,2017-03-26
2017-03-27,70.86410278601265,2017-03-27
2017-03-28,70.92012491126778,2017-03-28
2017-03-29,70.85713809768097,2017-03-29
2017-03-30,70.68442475998367,2017-03-30
2017-03-31,72.23047988023166,2017-03-31
2017-04-01,71.96144382437917,2017-04-01
2017-04-02,70.28657495971818,2017-04-02
2017-04-03,70.39056413714769,2017-04-03
2017-04-04,70.4726055429468,2017-04-04
2017-04-05,70.51469590335148,2017-04-05
2017-04-06,71.02927596973602,2017-04-06
2017-04-07,72.30577105052892,2017-04-07
2017-04-08,72.94514446508111,2017-04-08
2017-04-09,70.33792034251793,2017-04-09
2017-04-10,70.19983790690519,2017-04-10
2017-04-11,70.1370195449087,2017-04-11
2017-04-12,70.26948213584781,2017-04-12
2017-04-13,70.89408586629914,2017-04-13
2017-04-14,72.51392713985074,2017-04-14
2017-04-15,72.76729537131006,2017-04-15
2017-04-16,71.3301541578319,2017-04-16
2017-04-17,71.66131864934309,2017-04-17
2017-04-18,71.06851223900487,2017-04-18
2017-04-19,70.72392223736857,2017-04-19
2017-04-20,70.61744695396585,2017-04-20
2017-04-21,72.22677509533217,2017-04-21
2017-04-22,72.19804769286844,2017-04-22
2017-04-23,70.94213300335149,2017-04-23
2017-04-24,70.55943040062994,2017-04-24
2017-04-25,70.75464048651628,2017-04-25
2017-04-26,70.75721533942614,2017-04-26
2017-04-27,70.41834446902125,2017-04-27
2017-04-28,71.90069356233737,2017-04-28
2017-04-29,72.02749352710781,2017-04-29
2017-04-30,70.35655494330425,2017-04-30
2017-05-01,71.528745699991,2017-05-01
2017-05-02,70.98391432136602,2017-05-02
2017-05-03,70.79538176861699,2017-05-03
2017-05-04,70.71400073441434,2017-05-04
2017-05-05,71.95117426460335,2017-05-05
2017-05-06,72.15014016768406,2017-05-06
2017-05-07,70.91717309618873,2017-05-07
2017-05-08,71.46460453554678,2017-05-08
2017-05-09,70.9957313500774,2017-05-09
2017-05-10,71.16764708450465,2017-05-10
2017-05-11,71.15121284933768,2017-05-11
2017-05-12,72.81022531417626,2017-05-12
2017-05-13,72.73513394784119,2017-05-13
2017-05-14,71.19063854633497,2017-05-14
2017-05-15,71.26477477761331,2017-05-15
2017-05-16,71.2152873997287,2017-05-16
2017-05-17,71.327291358167,2017-05-17
2017-05-18,71.32420764478775,2017-05-18
2017-05-19,72.88469808523652,2017-05-19
2017-05-20,72.74975036422599,2017-05-20
2017-05-21,70.98995788738945,2017-05-21
2017-05-22,71.25804831630981,2017-05-22
2017-05-23,71.50775279551267,2017-05-23
2017-05-24,71.01152595538098,2017-05-24
2017-05-25,70.00548888655794,2017-05-25
2017-05-26,72.37726403070204,2017-05-26
2017-05-27,72.32241445513645,2017-05-27
2017-05-28,71.49898854782403,2017-05-28
2017-05-29,70.95271396147524,2017-05-29
2017-05-30,70.845804782391,2017-05-30
2017-05-31,70.77968964350936,2017-05-31
2017-06-01,71.1572880723617,2017-06-01
2017-06-02,72.69064070437727,2017-06-02
2017-06-03,72.11904557222667,2017-06-03
2017-06-04,71.05168140899613,2017-06-04
2017-06-05,72.1248943998148,2017-06-05
2017-06-06,71.9091265411485,2017-06-06
2017-06-07,72.38818890050584,2017-06-07
2017-06-08,72.15154874193988,2017-06-08
2017-06-09,73.9476591550741,2017-06-09
2017-06-10,74.01616998370102,2017-06-10
2017-06-11,72.38682972912011,2017-06-11
2017-06-12,72.05043182233416,2017-06-12
2017-06-13,72.07190788801599,2017-06-13
2017-06-14,72.0427927963475,2017-06-14
