date,average_price,date
2016-06-28,749.7486033519555,2016-06-28
2016-06-29,717.5736724008975,2016-06-29
2016-06-30,708.1806670784434,2016-06-30
2016-07-01,729.7077189939288,2016-07-01
2016-07-02,737.7878324671353,2016-07-02
2016-07-03,736.7844036697247,2016-07-03
2016-07-04,738.6360201511336,2016-07-04
2016-07-05,737.4225397856446,2016-07-05
2016-07-06,736.2353966870096,2016-07-06
2016-07-07,721.3225639700181,2016-07-07
2016-07-08,728.6339588514583,2016-07-08
2016-07-09,726.1423728813561,2016-07-09
2016-07-10,719.9087698646263,2016-07-10
2016-07-11,716.2539713289423,2016-07-11
2016-07-12,719.3944455234025,2016-07-12
2016-07-13,718.0112077294687,2016-07-13
2016-07-14,718.0405691213227,2016-07-14
2016-07-15,723.6129032258065,2016-07-15
2016-07-16,731.4871376811593,2016-07-16
2016-07-17,726.8568439407151,2016-07-17
2016-07-18,723.4769585253456,2016-07-18
2016-07-19,725.3883130807719,2016-07-19
2016-07-20,727.0428106936416,2016-07-20
2016-07-21,726.0777858176557,2016-07-21
2016-07-22,733.6492605440935,2016-07-22
2016-07-23,732.9549566180542,2016-07-23
2016-07-24,723.0558628318586,2016-07-24
2016-07-25,723.2135258358662,2016-07-25
2016-07-26,727.8095785440613,2016-07-26
2016-07-27,728.6795143572944,2016-07-27
2016-07-28,730.5413039272588,2016-07-28
2016-07-29,740.6368704344483,2016-07-29
2016-07-30,741.628515625,2016-07-30
2016-07-31,731.9563318777292,2016-07-31
2016-08-01,735.3331059572532,2016-08-01
2016-08-02,733.0819441183377,2016-08-02
2016-08-03,733.0426136363636,2016-08-03
2016-08-04,730.4816502758455,2016-08-04
2016-08-05,737.8003731343283,2016-08-05
2016-08-06,736.2206671331934,2016-08-06
2016-08-07,723.2244604316546,2016-08-07
2016-08-08,712.2779407842091,2016-08-08
2016-08-09,713.5027870680043,2016-08-09
2016-08-10,714.5980028530672,2016-08-10
2016-08-11,716.5853519521231,2016-08-11
2016-08-12,731.4601793965753,2016-08-12
2016-08-13,724.1334053470158,2016-08-13
2016-08-14,711.6409709255803,2016-08-14
2016-08-15,701.6582942313,2016-08-15
2016-08-16,703.5613247263542,2016-08-16
2016-08-17,705.4351535836178,2016-08-17
2016-08-18,705.2891185759403,2016-08-18
2016-08-19,717.4141189549749,2016-08-19
2016-08-20,718.0445243362833,2016-08-20
2016-08-21,710.6469031233459,2016-08-21
2016-08-22,708.1971374561168,2016-08-22
2016-08-23,714.8022659832749,2016-08-23
2016-08-24,714.239059967585,2016-08-24
2016-08-25,720.2525469168901,2016-08-25
2016-08-26,733.4520547945206,2016-08-26
2016-08-27,737.7512873326468,2016-08-27
2016-08-28,730.9906801007556,2016-08-28
2016-08-29,739.8476989575388,2016-08-29
2016-08-30,739.5369346733669,2016-08-30
2016-08-31,736.937531110005,2016-08-31
2016-09-01,733.2867878787879,2016-09-01
2016-09-02,747.2745280820321,2016-09-02
2016-09-03,746.6388695853602,2016-09-03
2016-09-04,734.4810442678775,2016-09-04
2016-09-05,722.2374068217755,2016-09-05
2016-09-06,718.4240274599542,2016-09-06
2016-09-07,709.6083998122948,2016-09-07
2016-09-08,706.4379194630873,2016-09-08
2016-09-09,718.4353499406882,2016-09-09
2016-09-10,718.4644371172867,2016-09-10
2016-09-11,712.1302200269421,2016-09-11
2016-09-12,715.3172772501131,2016-09-12
2016-09-13,714.8386520865877,2016-09-13
2016-09-14,718.3042057093048,2016-09-14
2016-09-15,716.965509899936,2016-09-15
2016-09-16,729.2125773195876,2016-09-16
2016-09-17,728.1565697912403,2016-09-17
2016-09-18,718.9753585134315,2016-09-18
2016-09-19,710.0851501439737,2016-09-19
2016-09-20,707.3034539473683,2016-09-20
2016-09-21,706.6084838644206,2016-09-21
2016-09-22,705.694745286803,2016-09-22
2016-09-23,717.9843810258387,2016-09-23
2016-09-24,718.5264061010486,2016-09-24
2016-09-25,705.1821080270067,2016-09-25
2016-09-26,746.3620133895363,2016-09-26
2016-09-27,745.2006003001502,2016-09-27
2016-09-28,744.186063936064,2016-09-28
2016-09-29,744.94425,2016-09-29
2016-09-30,760.3174449552382,2016-09-30
2016-10-01,759.8760484622552,2016-10-01
2016-10-02,745.0415602507547,2016-10-02
2016-10-03,719.3566369659584,2016-10-03
2016-10-04,717.4113720073665,2016-10-04
2016-10-05,716.8331415420023,2016-10-05
2016-10-06,717.6488796488798,2016-10-06
2016-10-07,730.800408719346,2016-10-07
2016-10-08,732.5657835653345,2016-10-08
2016-10-09,723.1081141328578,2016-10-09
2016-10-10,724.7584594835263,2016-10-10
2016-10-11,725.0713016437138,2016-10-11
2016-10-12,724.0990493035596,2016-10-12
2016-10-13,724.5511276549157,2016-10-13
2016-10-14,742.5573389651532,2016-10-14
2016-10-15,747.2086153846153,2016-10-15
2016-10-16,734.3849765258217,2016-10-16
2016-10-17,732.4653854102088,2016-10-17
2016-10-18,731.6719170984455,2016-10-18
2016-10-19,732.1992106356461,2016-10-19
2016-10-20,730.9354101765317,2016-10-20
2016-10-21,747.7069738988582,2016-10-21
2016-10-22,743.8538430089943,2016-10-22
2016-10-23,728.3461377870565,2016-10-23
2016-10-24,721.3780541012218,2016-10-24
2016-10-25,721.4041291456183,2016-10-25
2016-10-26,722.1227182757863,2016-10-26
2016-10-27,721.9936487078405,2016-10-27
2016-10-28,739.9051282051282,2016-10-28
2016-10-29,741.2546848381603,2016-10-29
2016-10-30,722.9199573105658,2016-10-30
2016-10-31,718.3617294520548,2016-10-31
2016-11-01,716.9437008710431,2016-11-01
2016-11-02,716.8243271879636,2016-11-02
2016-11-03,717.6569681636096,2016-11-03
2016-11-04,735.0441783649876,2016-11-04
2016-11-05,734.7869054972205,2016-11-05
2016-11-06,718.6062474311549,2016-11-06
2016-11-07,712.8185147507629,2016-11-07
2016-11-08,711.7725690890481,2016-11-08
2016-11-09,712.3859864781807,2016-11-09
2016-11-10,712.1119296091672,2016-11-10
2016-11-11,730.8101926163723,2016-11-11
2016-11-12,729.2608173076923,2016-11-12
2016-11-13,713.6706118355064,2016-11-13
2016-11-14,712.9967413441956,2016-11-14
2016-11-15,711.8148223764803,2016-11-15
2016-11-16,712.3038595058199,2016-11-16
2016-11-17,712.8454656364377,2016-11-17
2016-11-18,728.2694837552323,2016-11-18
2016-11-19,727.8330351818724,2016-11-19
2016-11-20,712.4111199681148,2016-11-20
2016-11-21,712.6259326477112,2016-11-21
2016-11-22,712.2116477272727,2016-11-22
2016-11-23,712.1965916007305,2016-11-23
2016-11-24,712.3536560664371,2016-11-24
2016-11-25,727.2701035031848,2016-11-25
2016-11-26,727.474280039722,2016-11-26
2016-11-27,714.6042780748662,2016-11-27
2016-11-28,713.0188376753508,2016-11-28
2016-11-29,711.652269987947,2016-11-29
2016-11-30,712.3671546019651,2016-11-30
2016-12-01,710.5298404569627,2016-12-01
2016-12-02,725.3068999028183,2016-12-02
2016-12-03,724.4898157128999,2016-12-03
2016-12-04,708.4900329011032,2016-12-04
2016-12-05,709.5327947682248,2016-12-05
2016-12-06,709.1479483721828,2016-12-06
2016-12-07,708.9946008484383,2016-12-07
2016-12-08,709.9718906430496,2016-12-08
2016-12-09,724.9285171102663,2016-12-09
2016-12-10,724.8107596135633,2016-12-10
2016-12-11,709.8565480696443,2016-12-11
2016-12-12,708.9567371831523,2016-12-12
2016-12-13,708.4635913076629,2016-12-13
2016-12-14,708.0247336377472,2016-12-14
2016-12-15,708.6401816118048,2016-12-15
2016-12-16,723.1718662432281,2016-12-16
2016-12-17,723.3888579387186,2016-12-17
2016-12-18,709.3988503615798,2016-12-18
2016-12-19,709.3646162423341,2016-12-19
2016-12-20,708.976955956142,2016-12-20
2016-12-21,709.4843721102275,2016-12-21
2016-12-22,712.7918576930132,2016-12-22
2016-12-23,725.129956741168,2016-12-23
2016-12-24,724.6309672805291,2016-12-24
2016-12-25,717.5162846803377,2016-12-25
2016-12-26,716.4326980942827,2016-12-26
2016-12-27,715.405421686747,2016-12-27
2016-12-28,716.5797743755037,2016-12-28
2016-12-29,718.5606365834005,2016-12-29
2016-12-30,731.3761115602265,2016-12-30
2016-12-31,735.1895993524888,2016-12-31
2017-01-01,719.7877848678212,2017-01-01
2017-01-02,710.3782489740082,2017-01-02
2017-01-03,707.2743091095191,2017-01-03
2017-01-04,706.6587152836938,2017-01-04
2017-01-05,705.7460910944935,2017-01-05
2017-01-06,720.1050313399967,2017-01-06
2017-01-07,720.5831219347201,2017-01-07
2017-01-08,705.1082910321489,2017-01-08
2017-01-09,705.0121930567316,2017-01-09
2017-01-10,705.1344979647217,2017-01-10
2017-01-11,705.8900763358779,2017-01-11
2017-01-12,706.1349152542372,2017-01-12
2017-01-13,720.7882114507685,2017-01-13
2017-01-14,720.6469198312236,2017-01-14
2017-01-15,704.8131330182309,2017-01-15
2017-01-16,704.1434370771312,2017-01-16
2017-01-17,703.8062605752963,2017-01-17
2017-01-18,704.6720839681732,2017-01-18
2017-01-19,704.6985953630057,2017-01-19
2017-01-20,720.2959527824621,2017-01-20
2017-01-21,720.2882184392381,2017-01-21
2017-01-22,705.2030696576151,2017-01-22
2017-01-23,704.6336717428087,2017-01-23
2017-01-24,704.3998306519899,2017-01-24
2017-01-25,704.6942750677507,2017-01-25
2017-01-26,704.7395868608196,2017-01-26
2017-01-27,720.0590517968617,2017-01-27
2017-01-28,720.0166947723441,2017-01-28
2017-01-29,705.2198246797033,2017-01-29
2017-01-30,705.3624557260921,2017-01-30
2017-01-31,704.3572874493927,2017-01-31
2017-02-01,702.7382740777832,2017-02-01
2017-02-02,702.2787485438507,2017-02-02
2017-02-03,717.4230705394191,2017-02-03
2017-02-04,717.2571760411481,2017-02-04
2017-02-05,701.8539251407751,2017-02-05
2017-02-06,700.7250492449114,2017-02-06
2017-02-07,700.6214262241209,2017-02-07
2017-02-08,700.8582457293036,2017-02-08
2017-02-09,701.0256157635469,2017-02-09
2017-02-10,716.1703170970906,2017-02-10
2017-02-11,716.4840182648402,2017-02-11
2017-02-12,701.5322370563333,2017-02-12
2017-02-13,701.8548360789432,2017-02-13
2017-02-14,701.5377589300277,2017-02-14
2017-02-15,701.4325778574922,2017-02-15
2017-02-16,701.8051566579636,2017-02-16
2017-02-17,716.8496252851091,2017-02-17
2017-02-18,716.3732899022801,2017-02-18
2017-02-19,700.7484092021538,2017-02-19
2017-02-20,700.5579603213641,2017-02-20
2017-02-21,700.4661308840415,2017-02-21
2017-02-22,700.727898966705,2017-02-22
2017-02-23,700.7614121510674,2017-02-23
2017-02-24,715.9805109728136,2017-02-24
2017-02-25,715.823240589198,2017-02-25
2017-02-26,700.2795487984306,2017-02-26
2017-02-27,700.2704031465094,2017-02-27
2017-02-28,699.8954269791838,2017-02-28
2017-03-01,699.5125872990093,2017-03-01
2017-03-02,699.7406686140863,2017-03-02
2017-03-03,714.8510603853003,2017-03-03
2017-03-04,714.8325242718448,2017-03-04
2017-03-05,699.6657503234152,2017-03-05
2017-03-06,699.1866645192462,2017-03-06
2017-03-07,698.9478008699855,2017-03-07
2017-03-08,699.2023521830191,2017-03-08
2017-03-09,699.3085843130939,2017-03-09
2017-03-10,714.814981514226,2017-03-10
2017-03-11,714.8572576756147,2017-03-11
2017-03-12,699.6727185089974,2017-03-12
2017-03-13,699.6529364440869,2017-03-13
2017-03-14,699.2995814552478,2017-03-14
2017-03-15,699.3273780782231,2017-03-15
2017-03-16,699.3022207917605,2017-03-16
2017-03-17,714.6617434580188,2017-03-17
2017-03-18,714.5854323760627,2017-03-18
2017-03-19,699.3026315789474,2017-03-19
2017-03-20,699.1672832555895,2017-03-20
2017-03-21,698.8663127413128,2017-03-21
2017-03-22,699.1846549782854,2017-03-22
2017-03-23,699.2618205210678,2017-03-23
2017-03-24,714.3400738244262,2017-03-24
2017-03-25,714.3568677792041,2017-03-25
2017-03-26,698.9345734445156,2017-03-26
2017-03-27,698.8354491402861,2017-03-27
2017-03-28,698.4063002250081,2017-03-28
2017-03-29,698.3925413920592,2017-03-29
2017-03-30,698.5482160077147,2017-03-30
2017-03-31,713.9178565698702,2017-03-31
2017-04-01,714.7855663533534,2017-04-01
2017-04-02,699.3443118536197,2017-04-02
2017-04-03,699.503733121525,2017-04-03
2017-04-04,699.4523658304222,2017-04-04
2017-04-05,699.5019857029389,2017-04-05
2017-04-06,699.5416865173892,2017-04-06
2017-04-07,714.1758276572152,2017-04-07
2017-04-08,714.6105662764948,2017-04-08
2017-04-09,700.7473933649289,2017-04-09
2017-04-10,700.8538011695906,2017-04-10
2017-04-11,700.4809546388493,2017-04-11
2017-04-12,700.5850845315216,2017-04-12
2017-04-13,700.97062539482,2017-04-13
2017-04-14,715.8624605678232,2017-04-14
2017-04-15,715.9602962029304,2017-04-15
2017-04-16,700.8699212598425,2017-04-16
2017-04-17,700.5114407448318,2017-04-17
2017-04-18,699.7470374466742,2017-04-18
2017-04-19,699.7757939642912,2017-04-19
2017-04-20,699.9867298578198,2017-04-20
2017-04-21,715.2850386252562,2017-04-21
2017-04-22,715.4824326453443,2017-04-22
2017-04-23,700.4819599810935,2017-04-23
2017-04-24,699.9733480523578,2017-04-24
2017-04-25,699.4210692319823,2017-04-25
2017-04-26,699.5228634500157,2017-04-26
2017-04-27,699.8489197287494,2017-04-27
2017-04-28,715.3782464977178,2017-04-28
2017-04-29,715.3409913453974,2017-04-29
2017-04-30,700.2518483561429,2017-04-30
2017-05-01,700.7111840049985,2017-05-01
2017-05-02,700.3767754019043,2017-05-02
2017-05-03,700.4470110816295,2017-05-03
2017-05-04,700.816224648986,2017-05-04
2017-05-05,716.3346837020879,2017-05-05
2017-05-06,716.3356185727641,2017-05-06
2017-05-07,700.5329490574857,2017-05-07
2017-05-08,700.2400685465027,2017-05-08
2017-05-09,699.9809939242873,2017-05-09
2017-05-10,699.9809909629167,2017-05-10
2017-05-11,700.5366043613707,2017-05-11
2017-05-12,715.6097712774234,2017-05-12
2017-05-13,715.7227753578096,2017-05-13
2017-05-14,699.9618914294603,2017-05-14
2017-05-15,700.256693648817,2017-05-15
2017-05-16,699.9901914992993,2017-05-16
2017-05-17,700.105770726396,2017-05-17
2017-05-18,700.3582530307739,2017-05-18
2017-05-19,715.9121254463593,2017-05-19
2017-05-20,715.5664183736809,2017-05-20
2017-05-21,700.2004965859716,2017-05-21
2017-05-22,700.1462051839204,2017-05-22
2017-05-23,700.0676598386094,2017-05-23
2017-05-24,700.3425868486353,2017-05-24
2017-05-25,700.3756974581527,2017-05-25
2017-05-26,715.7413258983889,2017-05-26
2017-05-27,715.9476537091529,2017-05-27
2017-05-28,700.3909541511772,2017-05-28
2017-05-29,700.6250775915581,2017-05-29
2017-05-30,700.3981064721402,2017-05-30
2017-05-31,700.4634827104977,2017-05-31
2017-06-01,700.1362233878433,2017-06-01
2017-06-02,714.9530046224962,2017-06-02
2017-06-03,714.6895223420648,2017-06-03
2017-06-04,699.3094577942082,2017-06-04
2017-06-05,698.8012288786482,2017-06-05
2017-06-06,698.8037799631222,2017-06-06
2017-06-07,698.7643625192012,2017-06-07
2017-06-08,699.1183422870299,2017-06-08
2017-06-09,714.8252799509128,2017-06-09
2017-06-10,714.7981595092026,2017-06-10
2017-06-11,699.1315950920247,2017-06-11
2017-06-12,699.1367193493937,2017-06-12
2017-06-13,698.8801411909146,2017-06-13
2017-06-14,698.8971919594907,2017-06-14
2017-06-15,829.8554366233759,2017-06-15
2017-06-16,826.8161832919344,2017-06-16
2017-06-17,825.0127495785864,2017-06-17
2017-06-18,788.5302925177621,2017-06-18
2017-06-19,776.9578210504604,2017-06-19
2017-06-20,778.1707364308896,2017-06-20
2017-06-21,777.7147940628681,2017-06-21
2017-06-22,775.3767957138949,2017-06-22
2017-06-23,793.3662775742423,2017-06-23
2017-06-24,794.523886842315,2017-06-24
2017-06-25,770.0825257240757,2017-06-25
2017-06-26,762.6819378815208,2017-06-26
2017-06-27,764.1426877857316,2017-06-27
2017-06-28,826.0573422330098,2017-06-28
2017-06-29,820.2368640533779,2017-06-29
2017-06-30,833.5910567074693,2017-06-30
2017-07-01,835.7879403794037,2017-07-01
2017-07-02,830.6157826649417,2017-07-02
2017-07-03,823.8007606169449,2017-07-03
2017-07-04,829.3868225292242,2017-07-04
2017-07-05,825.107333760958,2017-07-05
2017-07-06,831.1264488935723,2017-07-06
2017-07-07,847.2406588991562,2017-07-07
2017-07-08,846.3120512322919,2017-07-08
2017-07-09,834.3600220872446,2017-07-09
2017-07-10,832.6900018278194,2017-07-10
2017-07-11,831.2612761276127,2017-07-11
2017-07-12,828.1352683461117,2017-07-12
2017-07-13,831.1397205588823,2017-07-13
2017-07-14,839.1175847457628,2017-07-14
2017-07-15,837.8285615729562,2017-07-15
2017-07-16,828.0799797945782,2017-07-16
2017-07-17,827.0822709501955,2017-07-17
2017-07-18,829.511910882605,2017-07-18
2017-07-19,834.500343524562,2017-07-19
2017-07-20,833.9413173652695,2017-07-20
2017-07-21,855.6548538797447,2017-07-21
2017-07-22,857.1169179229481,2017-07-22
2017-07-23,840.1193076793816,2017-07-23
2017-07-24,838.6511180992312,2017-07-24
2017-07-25,840.1959341044515,2017-07-25
2017-07-26,841.2582980225989,2017-07-26
2017-07-27,839.7039403620872,2017-07-27
2017-07-28,851.1064200976972,2017-07-28
2017-07-29,849.2286268288384,2017-07-29
2017-07-30,836.1980772719028,2017-07-30
2017-07-31,825.5049019607843,2017-07-31
2017-08-01,836.5310934891486,2017-08-01
2017-08-02,838.5686274509803,2017-08-02
2017-08-03,836.4166120218579,2017-08-03
2017-08-04,846.272019043497,2017-08-04
2017-08-05,848.7150065818341,2017-08-05
2017-08-06,830.2475424486148,2017-08-06
2017-08-07,830.1461031028584,2017-08-07
2017-08-08,825.1553518334986,2017-08-08
2017-08-09,820.8156028368794,2017-08-09
2017-08-10,818.0821382007823,2017-08-10
2017-08-11,839.4713600807469,2017-08-11
2017-08-12,840.2064128256512,2017-08-12
2017-08-13,827.3761136527811,2017-08-13
2017-08-14,826.5693684733963,2017-08-14
2017-08-15,826.0194465220642,2017-08-15
2017-08-16,820.7955577990913,2017-08-16
2017-08-17,815.1537670352277,2017-08-17
2017-08-18,828.3771060455897,2017-08-18
2017-08-19,826.2946494014169,2017-08-19
2017-08-20,809.4730151115375,2017-08-20
2017-08-21,798.7313947757516,2017-08-21
2017-08-22,804.7968363816115,2017-08-22
2017-08-23,813.5512445095169,2017-08-23
2017-08-24,824.1740831295842,2017-08-24
2017-08-25,846.3789771388167,2017-08-25
2017-08-26,840.9144050104384,2017-08-26
2017-08-27,823.594037702762,2017-08-27
2017-08-28,813.2062196735774,2017-08-28
2017-08-29,809.3679738562091,2017-08-29
2017-08-30,807.5981469510881,2017-08-30
2017-08-31,805.3794871794873,2017-08-31
2017-09-01,821.7886982845612,2017-09-01
2017-09-02,820.6364910875226,2017-09-02
2017-09-03,806.844746162928,2017-09-03
2017-09-04,790.9461031407523,2017-09-04
2017-09-05,789.6091015169195,2017-09-05
2017-09-06,790.6518705175423,2017-09-06
2017-09-07,795.2903723712137,2017-09-07
2017-09-08,810.5711094564407,2017-09-08
2017-09-09,810.5458196422052,2017-09-09
2017-09-10,792.5911660777385,2017-09-10
2017-09-11,785.8409493446687,2017-09-11
2017-09-12,784.7080690627201,2017-09-12
2017-09-13,834.806189352216,2017-09-13
2017-09-14,833.1920442571127,2017-09-14
2017-09-15,853.4050243527299,2017-09-15
2017-09-16,851.6568907344925,2017-09-16
2017-09-17,835.8492449449706,2017-09-17
2017-09-18,834.2118863049095,2017-09-18
2017-09-19,835.0397624580429,2017-09-19
2017-09-20,832.7260097761771,2017-09-20
2017-09-21,834.2892583120206,2017-09-21
2017-09-22,854.155084125823,2017-09-22
2017-09-23,853.7137981472451,2017-09-23
2017-09-24,841.6362524461839,2017-09-24
2017-09-25,833.4142820967334,2017-09-25
2017-09-26,833.0593372720268,2017-09-26
2017-09-27,833.8195757730641,2017-09-27
2017-09-28,834.1057201225742,2017-09-28
2017-09-29,849.0978392813789,2017-09-29
2017-09-30,843.7898533301276,2017-09-30
2017-10-01,822.1541819852941,2017-10-01
2017-10-02,807.794151775354,2017-10-02
2017-10-03,807.4653004191896,2017-10-03
2017-10-04,805.3754329254215,2017-10-04
2017-10-05,801.8023389130933,2017-10-05
2017-10-06,820.314,2017-10-06
2017-10-07,823.5324818321956,2017-10-07
2017-10-08,808.1468332237563,2017-10-08
2017-10-09,806.6138482023968,2017-10-09
2017-10-10,806.5856760374833,2017-10-10
2017-10-11,805.6996662958843,2017-10-11
2017-10-12,806.1376187320521,2017-10-12
2017-10-13,829.5003159890457,2017-10-13
2017-10-14,835.6812805872758,2017-10-14
2017-10-15,823.4383255435887,2017-10-15
2017-10-16,820.729324851221,2017-10-16
2017-10-17,821.1766762649115,2017-10-17
2017-10-18,822.1085255354201,2017-10-18
2017-10-19,822.2679229823842,2017-10-19
2017-10-20,839.6037089296511,2017-10-20
2017-10-21,839.464098426785,2017-10-21
2017-10-22,822.7359967051071,2017-10-22
2017-10-23,810.3155402496773,2017-10-23
2017-10-24,809.000217155266,2017-10-24
2017-10-25,809.0958993274028,2017-10-25
2017-10-26,809.6970550021655,2017-10-26
2017-10-27,828.9339781328847,2017-10-27
2017-10-28,830.3035452066289,2017-10-28
2017-10-29,812.1813221406087,2017-10-29
2017-10-30,806.0845876616493,2017-10-30
2017-10-31,805.4002127659575,2017-10-31
2017-11-01,802.2506755352318,2017-11-01
2017-11-02,802.0066102045032,2017-11-02
2017-11-03,822.5353759322717,2017-11-03
2017-11-04,823.7483417085427,2017-11-04
2017-11-05,809.2265812650121,2017-11-05
2017-11-06,804.3496614894466,2017-11-06
2017-11-07,803.3141885131079,2017-11-07
2017-11-08,803.5729145829166,2017-11-08
