date,average_price,date
2015-04-06,1058.4761736674902,2015-04-06
2015-04-07,516.1170106761566,2015-04-07
2015-04-08,501.89012498283205,2015-04-08
2015-04-09,495.7995692556199,2015-04-09
2015-04-10,496.3797620638952,2015-04-10
2015-04-11,489.60327653997376,2015-04-11
2015-04-12,448.2783492964408,2015-04-12
2015-04-13,453.86599302297606,2015-04-13
2015-04-14,464.710301227222,2015-04-14
2015-04-15,471.0790768066591,2015-04-15
2015-04-16,485.25,2015-04-16
2015-04-17,495.92397660818716,2015-04-17
2015-04-18,489.9295589203424,2015-04-18
2015-04-19,445.8069493521791,2015-04-19
2015-04-20,446.2277542372882,2015-04-20
2015-04-21,453.7724924924925,2015-04-21
2015-04-22,460.53876253362677,2015-04-22
2015-04-23,131.77808634183287,2015-04-23
2015-04-24,136.3148493735004,2015-04-24
2015-04-25,137.3445130507999,2015-04-25
2015-04-26,467.0149644594089,2015-04-26
2015-04-27,448.5598862693993,2015-04-27
2015-04-28,445.4042702956359,2015-04-28
2015-04-29,449.53411653020055,2015-04-29
2015-04-30,130.87719298245614,2015-04-30
2015-05-01,136.12622646512858,2015-05-01
2015-05-02,135.63179473614602,2015-05-02
2015-05-03,130.97768786127168,2015-05-03
2015-05-04,420.0680250107805,2015-05-04
2015-05-05,418.81739972040003,2015-05-05
2015-05-06,128.47766990291262,2015-05-06
2015-05-07,128.7804098721904,2015-05-07
2015-05-08,131.980278816729,2015-05-08
2015-05-09,438.39882032667884,2015-05-09
2015-05-10,412.16067853756186,2015-05-10
2015-05-11,128.08580310880828,2015-05-11
2015-05-12,128.1619424760317,2015-05-12
2015-05-13,128.20965790342098,2015-05-13
2015-05-14,128.5801831415825,2015-05-14
2015-05-15,132.09630419331913,2015-05-15
2015-05-16,131.53956415336208,2015-05-16
2015-05-17,127.68748025692324,2015-05-17
2015-05-18,127.59600123673091,2015-05-18
2015-05-19,127.37834512457705,2015-05-19
2015-05-20,127.07366369139223,2015-05-20
2015-05-21,127.27369966442951,2015-05-21
2015-05-22,131.98327541268463,2015-05-22
2015-05-23,141.08049810985105,2015-05-23
2015-05-24,136.97855626326964,2015-05-24
2015-05-25,136.2297885257513,2015-05-25
2015-05-26,135.7606897239111,2015-05-26
2015-05-27,405.75242669868913,2015-05-27
2015-05-28,407.9000705858626,2015-05-28
2015-05-29,410.434664520672,2015-05-29
2015-05-30,409.5141481035521,2015-05-30
2015-05-31,393.2687728058383,2015-05-31
2015-06-01,395.062205557158,2015-06-01
2015-06-02,397.17171326303566,2015-06-02
2015-06-03,400.4741793238609,2015-06-03
2015-06-04,135.91503009967434,2015-06-04
2015-06-05,139.2972999703293,2015-06-05
2015-06-06,138.58614195083268,2015-06-06
2015-06-07,135.6112768209372,2015-06-07
2015-06-08,392.90086906694677,2015-06-08
2015-06-09,393.25788568151404,2015-06-09
2015-06-10,392.4717161118001,2015-06-10
2015-06-11,391.8745229007634,2015-06-11
2015-06-12,395.04748256424966,2015-06-12
2015-06-13,396.0584509069968,2015-06-13
2015-06-14,388.2952614687559,2015-06-14
2015-06-15,389.36958376789613,2015-06-15
2015-06-16,391.58418586862985,2015-06-16
2015-06-17,394.6144636477745,2015-06-17
2015-06-18,396.34976183532615,2015-06-18
2015-06-19,401.6302768505792,2015-06-19
2015-06-20,402.9153194006309,2015-06-20
2015-06-21,392.5349284135678,2015-06-21
2015-06-22,392.9434707241911,2015-06-22
2015-06-23,393.7417237718367,2015-06-23
2015-06-24,394.1352082729292,2015-06-24
2015-06-25,396.3540711847879,2015-06-25
2015-06-26,401.1479921645446,2015-06-26
2015-06-27,403.0501332280667,2015-06-27
2015-06-28,395.2587344720497,2015-06-28
2015-06-29,399.31406589070815,2015-06-29
2015-06-30,398.82757262432295,2015-06-30
2015-07-01,403.1012266879425,2015-07-01
2015-07-02,405.1170981336545,2015-07-02
2015-07-03,408.29960933587097,2015-07-03
2015-07-04,407.9075352746923,2015-07-04
2015-07-05,397.51485826001954,2015-07-05
2015-07-06,402.2618646586743,2015-07-06
2015-07-07,401.00956418852303,2015-07-07
2015-07-08,409.7538793950108,2015-07-08
2015-07-09,406.10195964299567,2015-07-09
2015-07-10,407.27898236484526,2015-07-10
2015-07-11,406.7977495672245,2015-07-11
2015-07-12,399.2366455516687,2015-07-12
2015-07-13,397.36616803085883,2015-07-13
2015-07-14,394.75655990288544,2015-07-14
2015-07-15,396.21027512633344,2015-07-15
2015-07-16,396.69305633539216,2015-07-16
2015-07-17,397.11133810010216,2015-07-17
2015-07-18,397.47529433577455,2015-07-18
2015-07-19,391.15934720821485,2015-07-19
2015-07-20,391.3032080659945,2015-07-20
2015-07-21,144.15664644236074,2015-07-21
2015-07-22,143.95073394495412,2015-07-22
2015-07-23,146.83109282121632,2015-07-23
2015-07-24,146.4953749438707,2015-07-24
2015-07-25,146.63725753106286,2015-07-25
2015-07-26,143.45301953818827,2015-07-26
2015-07-27,143.378125,2015-07-27
2015-07-28,143.24928749554684,2015-07-28
2015-07-29,142.6545503021685,2015-07-29
2015-07-30,142.3092390822925,2015-07-30
2015-07-31,380.1737576285963,2015-07-31
2015-08-01,380.50912106135996,2015-08-01
2015-08-02,376.36602953953087,2015-08-02
2015-08-03,375.926545832972,2015-08-03
