date,average_price,date
2015-05-06,111.38156761412577,2015-05-06
2015-05-07,143.2327909887359,2015-05-07
2015-05-08,439.1860309680294,2015-05-08
2015-05-09,418.80453405766815,2015-05-09
2015-05-10,267.05205912429113,2015-05-10
2015-05-11,270.57786223277907,2015-05-11
2015-05-12,272.3324712643678,2015-05-12
2015-05-13,270.6826987307949,2015-05-13
2015-05-14,281.0703952730236,2015-05-14
2015-05-15,401.94933966157663,2015-05-15
2015-05-16,393.06968993031006,2015-05-16
2015-05-17,262.6530499075786,2015-05-17
2015-05-18,273.50951958173033,2015-05-18
2015-05-19,279.50045514311716,2015-05-19
2015-05-20,285.0654420206659,2015-05-20
2015-05-21,288.37655512655516,2015-05-21
2015-05-22,404.66175386882827,2015-05-22
2015-05-23,426.24895704138015,2015-05-23
2015-05-24,290.1614594712694,2015-05-24
2015-05-25,284.1621848739496,2015-05-25
2015-05-26,289.16643311415334,2015-05-26
2015-05-27,286.95863406226437,2015-05-27
2015-05-28,290.32086614173227,2015-05-28
2015-05-29,404.22216381032484,2015-05-29
2015-05-30,396.69161462066137,2015-05-30
2015-05-31,265.3650479954828,2015-05-31
2015-06-01,270.51697381183317,2015-06-01
2015-06-02,269.3771743332045,2015-06-02
2015-06-03,269.5780419445249,2015-06-03
2015-06-04,269.15238003095976,2015-06-04
2015-06-05,367.80445180279617,2015-06-05
2015-06-06,363.4090950185336,2015-06-06
2015-06-07,253.92731373059243,2015-06-07
2015-06-08,255.6602485559251,2015-06-08
2015-06-09,256.4838113672356,2015-06-09
2015-06-10,257.0818744473917,2015-06-10
2015-06-11,255.858309191467,2015-06-11
2015-06-12,346.6346882100479,2015-06-12
2015-06-13,345.55482677430206,2015-06-13
2015-06-14,247.5387967152673,2015-06-14
2015-06-15,251.67591392273792,2015-06-15
2015-06-16,251.4172593235039,2015-06-16
2015-06-17,251.9669111227519,2015-06-17
2015-06-18,253.00359617577405,2015-06-18
2015-06-19,342.67878381774017,2015-06-19
2015-06-20,340.93700132978717,2015-06-20
2015-06-21,243.92267019167218,2015-06-21
2015-06-22,246.07173456530867,2015-06-22
2015-06-23,246.3610994368328,2015-06-23
2015-06-24,245.3188199899716,2015-06-24
2015-06-25,244.37577923697117,2015-06-25
2015-06-26,330.0326388338747,2015-06-26
2015-06-27,327.1523526188053,2015-06-27
2015-06-28,236.7068087440257,2015-06-28
2015-06-29,239.1911001038588,2015-06-29
2015-06-30,237.26266195524147,2015-06-30
2015-07-01,233.51250381213782,2015-07-01
2015-07-02,231.40316057519473,2015-07-02
2015-07-03,309.12760491007714,2015-07-03
2015-07-04,306.7813224650411,2015-07-04
2015-07-05,225.67300673778774,2015-07-05
2015-07-06,223.4808106044833,2015-07-06
2015-07-07,223.80337506051598,2015-07-07
2015-07-08,223.4002336930373,2015-07-08
2015-07-09,222.2037211810705,2015-07-09
2015-07-10,292.38550035349317,2015-07-10
2015-07-11,288.64644298688194,2015-07-11
2015-07-12,214.11294869385452,2015-07-12
2015-07-13,214.98367501898247,2015-07-13
2015-07-14,216.24700838292702,2015-07-14
2015-07-15,215.5313393027243,2015-07-15
2015-07-16,214.00873253493012,2015-07-16
2015-07-17,282.23346232918135,2015-07-17
2015-07-18,280.5344303344661,2015-07-18
2015-07-19,210.57652878769818,2015-07-19
2015-07-20,211.66885740126617,2015-07-20
2015-07-21,211.26513193484402,2015-07-21
2015-07-22,210.17679062537368,2015-07-22
2015-07-23,209.1245553711169,2015-07-23
2015-07-24,274.4152635537812,2015-07-24
2015-07-25,272.8675064414544,2015-07-25
2015-07-26,205.84782733153943,2015-07-26
2015-07-27,206.51659393660998,2015-07-27
2015-07-28,205.9797358834244,2015-07-28
2015-07-29,205.5242581518673,2015-07-29
2015-07-30,204.4129247910864,2015-07-30
2015-07-31,264.53827120649777,2015-07-31
2015-08-01,267.2911072500395,2015-08-01
2015-08-02,204.9847697074733,2015-08-02
2015-08-03,204.25410436055628,2015-08-03
2015-08-04,204.11592316901772,2015-08-04
2015-08-05,205.49711255774884,2015-08-05
2015-08-06,207.48748072936047,2015-08-06
2015-08-07,268.91153380051634,2015-08-07
2015-08-08,267.63500834028355,2015-08-08
2015-08-09,206.22538738456726,2015-08-09
2015-08-10,206.70538940973134,2015-08-10
2015-08-11,206.6085729221119,2015-08-11
2015-08-12,206.4769752281617,2015-08-12
2015-08-13,205.96805095277546,2015-08-13
2015-08-14,265.12819595009205,2015-08-14
2015-08-15,264.6067369923049,2015-08-15
2015-08-16,204.67196605664043,2015-08-16
2015-08-17,205.0894744984787,2015-08-17
2015-08-18,205.01795758295063,2015-08-18
2015-08-19,204.7479203039951,2015-08-19
2015-08-20,204.62766940451743,2015-08-20
2015-08-21,263.74966954753427,2015-08-21
2015-08-22,263.271381495564,2015-08-22
2015-08-23,204.03901615872363,2015-08-23
2015-08-24,204.68556967255452,2015-08-24
2015-08-25,204.6306306306306,2015-08-25
2015-08-26,204.77646387635497,2015-08-26
2015-08-27,204.75682266265437,2015-08-27
2015-08-28,265.2164810231023,2015-08-28
2015-08-29,265.1289739884393,2015-08-29
2015-08-30,205.4297823357053,2015-08-30
2015-08-31,206.3362055209829,2015-08-31
2015-09-01,202.35971773972977,2015-09-01
2015-09-02,158.74188799089563,2015-09-02
2015-09-03,157.4048379450542,2015-09-03
2015-09-04,254.3615608650706,2015-09-04
2015-09-05,252.03073511832662,2015-09-05
2015-09-06,158.10048220190225,2015-09-06
2015-09-07,157.8896171240636,2015-09-07
2015-09-08,158.6577588284839,2015-09-08
2015-09-09,158.7097787589808,2015-09-09
2015-09-10,158.55202665108823,2015-09-10
2015-09-11,239.15379106473299,2015-09-11
2015-09-12,238.0356731871332,2015-09-12
2015-09-13,155.27969438643748,2015-09-13
2015-09-14,155.7813572040853,2015-09-14
2015-09-15,156.10340778879333,2015-09-15
2015-09-16,156.22481377764106,2015-09-16
2015-09-17,155.81453653434048,2015-09-17
2015-09-18,235.52465013470982,2015-09-18
2015-09-19,233.91442096972057,2015-09-19
2015-09-20,155.0346196411187,2015-09-20
2015-09-21,156.25301938448175,2015-09-21
2015-09-22,154.8931252067836,2015-09-22
2015-09-23,154.72416878906375,2015-09-23
2015-09-24,154.26721579175555,2015-09-24
2015-09-25,230.1342925851073,2015-09-25
2015-09-26,229.02508174348614,2015-09-26
2015-09-27,152.73626327496152,2015-09-27
2015-09-28,155.4112392412262,2015-09-28
2015-09-29,155.65146340327328,2015-09-29
2015-09-30,155.01568715020142,2015-09-30
2015-10-01,153.69276263644207,2015-10-01
2015-10-02,226.64516469625275,2015-10-02
2015-10-03,226.24107894232097,2015-10-03
2015-10-04,152.3712855688468,2015-10-04
2015-10-05,151.60814459026295,2015-10-05
2015-10-06,152.1844778497791,2015-10-06
2015-10-07,151.25048654077713,2015-10-07
2015-10-08,151.5067956466205,2015-10-08
2015-10-09,216.9654003268782,2015-10-09
2015-10-10,216.8487388773759,2015-10-10
2015-10-11,151.22045232749494,2015-10-11
2015-10-12,151.52553839658572,2015-10-12
2015-10-13,151.51744718813546,2015-10-13
2015-10-14,151.4244192197854,2015-10-14
2015-10-15,151.29012610854787,2015-10-15
2015-10-16,214.26419027818798,2015-10-16
2015-10-17,214.21001068085525,2015-10-17
2015-10-18,153.33684576977748,2015-10-18
2015-10-19,153.8132185689584,2015-10-19
2015-10-20,153.830603240135,2015-10-20
2015-10-21,153.8477423003446,2015-10-21
2015-10-22,153.49572748763438,2015-10-22
2015-10-23,212.01952229078393,2015-10-23
2015-10-24,211.1424282447056,2015-10-24
2015-10-25,152.72742858316275,2015-10-25
2015-10-26,153.00656143477755,2015-10-26
2015-10-27,153.2083315975959,2015-10-27
2015-10-28,152.77754793029274,2015-10-28
2015-10-29,152.79451813430384,2015-10-29
2015-10-30,209.5348403651644,2015-10-30
2015-10-31,208.68726676095963,2015-10-31
2015-11-01,150.6469784108741,2015-11-01
2015-11-02,149.782687668542,2015-11-02
2015-11-03,150.72199918623312,2015-11-03
2015-11-04,151.5059473896396,2015-11-04
2015-11-05,151.81001145430855,2015-11-05
2015-11-06,208.1114250264274,2015-11-06
2015-11-07,207.87886517187997,2015-11-07
2015-11-08,151.27119913749834,2015-11-08
2015-11-09,151.53884693977645,2015-11-09
2015-11-10,151.57665667506274,2015-11-10
2015-11-11,151.77916242935004,2015-11-11
2015-11-12,151.79560980668964,2015-11-12
2015-11-13,208.30387602005635,2015-11-13
2015-11-14,208.18266673909307,2015-11-14
2015-11-15,151.3763001103847,2015-11-15
2015-11-16,151.4404363655815,2015-11-16
2015-11-17,151.36541094062827,2015-11-17
2015-11-18,151.38533420687037,2015-11-18
2015-11-19,151.19931524506396,2015-11-19
2015-11-20,206.12785015693265,2015-11-20
2015-11-21,206.03801134720663,2015-11-21
2015-11-22,150.6097455492725,2015-11-22
2015-11-23,150.6321497519593,2015-11-23
2015-11-24,150.57542226595643,2015-11-24
2015-11-25,150.49715407403468,2015-11-25
2015-11-26,150.43301559279266,2015-11-26
2015-11-27,205.1689675245891,2015-11-27
2015-11-28,204.94628563083484,2015-11-28
2015-11-29,150.0582467960813,2015-11-29
2015-11-30,150.23127444319474,2015-11-30
2015-12-01,150.26738405127952,2015-12-01
2015-12-02,151.46921336160887,2015-12-02
2015-12-03,151.30863158839378,2015-12-03
2015-12-04,207.2593442151346,2015-12-04
2015-12-05,207.26571423016605,2015-12-05
2015-12-06,150.79082091411567,2015-12-06
2015-12-07,150.6207375816006,2015-12-07
2015-12-08,150.66631556195756,2015-12-08
2015-12-09,150.6317389894532,2015-12-09
2015-12-10,150.62426117957574,2015-12-10
2015-12-11,205.8305945633423,2015-12-11
2015-12-12,209.64561769468605,2015-12-12
2015-12-13,154.52405033830357,2015-12-13
2015-12-14,154.85541968834806,2015-12-14
2015-12-15,154.93618431434953,2015-12-15
2015-12-16,154.95111049675273,2015-12-16
2015-12-17,154.91353876578904,2015-12-17
2015-12-18,209.53256050692357,2015-12-18
2015-12-19,209.38081310793623,2015-12-19
2015-12-20,155.85623373014948,2015-12-20
2015-12-21,156.3364081865373,2015-12-21
2015-12-22,156.36100571522564,2015-12-22
2015-12-23,156.6934750338402,2015-12-23
2015-12-24,157.09988772871944,2015-12-24
2015-12-25,209.69094916519788,2015-12-25
2015-12-26,209.42060798726396,2015-12-26
2015-12-27,156.18056452198437,2015-12-27
2015-12-28,156.21445426910617,2015-12-28
2015-12-29,156.3386219886323,2015-12-29
2015-12-30,156.95513523465507,2015-12-30
2015-12-31,158.03403079819853,2015-12-31
2016-01-01,166.6824566466973,2016-01-01
2016-01-02,207.46969572595668,2016-01-02
2016-01-03,133.953590455647,2016-01-03
2016-01-04,129.7004360554886,2016-01-04
2016-01-05,129.61961774607198,2016-01-05
2016-01-06,129.35277697607853,2016-01-06
2016-01-07,128.96341830517576,2016-01-07
2016-01-08,183.0197661798833,2016-01-08
2016-01-09,208.830895992923,2016-01-09
2016-01-10,128.0091545865364,2016-01-10
2016-01-11,128.02354226765084,2016-01-11
2016-01-12,128.88292100667024,2016-01-12
2016-01-13,128.97915009155327,2016-01-13
2016-01-14,129.03855601651847,2016-01-14
2016-01-15,179.99505632816852,2016-01-15
2016-01-16,205.03564859909028,2016-01-16
2016-01-17,128.70593092729285,2016-01-17
2016-01-18,128.7745519150189,2016-01-18
2016-01-19,128.8134912564795,2016-01-19
2016-01-20,128.77333061555288,2016-01-20
2016-01-21,128.56183237423804,2016-01-21
2016-01-22,180.64245346624935,2016-01-22
2016-01-23,180.78796570515212,2016-01-23
2016-01-24,128.4286410330749,2016-01-24
2016-01-25,128.57853719727956,2016-01-25
2016-01-26,128.7662384422916,2016-01-26
2016-01-27,128.99394759696236,2016-01-27
2016-01-28,129.01146806194856,2016-01-28
2016-01-29,178.2095862232677,2016-01-29
2016-01-30,201.38296624501305,2016-01-30
2016-01-31,128.49322375380206,2016-01-31
2016-02-01,128.28659193665135,2016-02-01
2016-02-02,124.71689030372595,2016-02-02
2016-02-03,124.63145200229863,2016-02-03
2016-02-04,124.44841463840442,2016-02-04
2016-02-05,162.3793204105362,2016-02-05
2016-02-06,180.26933187795902,2016-02-06
2016-02-07,123.63427283752887,2016-02-07
2016-02-08,123.71173913331704,2016-02-08
2016-02-09,123.70788435163124,2016-02-09
2016-02-10,124.03031153457275,2016-02-10
2016-02-11,124.02540934915639,2016-02-11
2016-02-12,162.49338199639826,2016-02-12
2016-02-13,180.32282285631985,2016-02-13
2016-02-14,124.15749306487635,2016-02-14
2016-02-15,123.9070326866071,2016-02-15
2016-02-16,123.81323242821964,2016-02-16
2016-02-17,123.66778843195372,2016-02-17
2016-02-18,123.5820497991352,2016-02-18
2016-02-19,160.8991667356977,2016-02-19
2016-02-20,161.0926807065691,2016-02-20
2016-02-21,124.18347798306414,2016-02-21
2016-02-22,124.29944430685336,2016-02-22
2016-02-23,124.38050840841188,2016-02-23
2016-02-24,124.35330412805088,2016-02-24
2016-02-25,124.39633777853916,2016-02-25
2016-02-26,160.91379824406076,2016-02-26
2016-02-27,177.12908844900545,2016-02-27
2016-02-28,124.27674671039586,2016-02-28
2016-02-29,124.48761430608468,2016-02-29
2016-03-01,125.3568268372251,2016-03-01
2016-03-02,125.20809003684231,2016-03-02
2016-03-03,124.34057852379924,2016-03-03
2016-03-04,160.80328417305319,2016-03-04
2016-03-05,186.75926028622115,2016-03-05
2016-03-06,123.4342896418796,2016-03-06
2016-03-07,123.34784663855787,2016-03-07
2016-03-08,124.17517229966498,2016-03-08
2016-03-09,124.20688018174374,2016-03-09
2016-03-10,124.17763570229924,2016-03-10
2016-03-11,160.67472378378497,2016-03-11
2016-03-12,186.3005721684356,2016-03-12
2016-03-13,123.95338564991403,2016-03-13
2016-03-14,123.9426255287033,2016-03-14
2016-03-15,124.01074606664906,2016-03-15
2016-03-16,124.08890088557595,2016-03-16
2016-03-17,124.01805961556681,2016-03-17
2016-03-18,160.44230163420085,2016-03-18
2016-03-19,176.5921783706845,2016-03-19
2016-03-20,123.65297980055664,2016-03-20
2016-03-21,123.73305688612655,2016-03-21
2016-03-22,123.73798850355789,2016-03-22
2016-03-23,123.72282847721564,2016-03-23
2016-03-24,123.6061889266859,2016-03-24
2016-03-25,160.2393655891346,2016-03-25
2016-03-26,186.0271728541475,2016-03-26
2016-03-27,123.34624740415566,2016-03-27
2016-03-28,123.30685606809115,2016-03-28
2016-03-29,123.25832371455809,2016-03-29
2016-03-30,123.24520541378868,2016-03-30
2016-03-31,123.12195434538299,2016-03-31
2016-04-01,187.1042751648483,2016-04-01
2016-04-02,218.7793600467363,2016-04-02
2016-04-03,122.40268351836228,2016-04-03
2016-04-04,123.38218434137467,2016-04-04
2016-04-05,123.60316173424286,2016-04-05
2016-04-06,123.59320467586383,2016-04-06
