date,average_price,date
2018-04-21,1401.6330365974286,2018-04-21
2018-04-22,879.0472891566266,2018-04-22
2018-04-23,846.1540777917189,2018-04-23
2018-04-24,834.9502084298286,2018-04-24
2018-04-25,861.1900463527691,2018-04-25
2018-04-26,886.2643808444318,2018-04-26
2018-04-27,1334.508908685969,2018-04-27
2018-04-28,3431.204359673025,2018-04-28
2018-04-29,1475.7563499529633,2018-04-29
2018-04-30,1249.7578579743888,2018-04-30
2018-05-01,1030.642740085218,2018-05-01
2018-05-02,983.0838375108037,2018-05-02
2018-05-03,1028.1207989854154,2018-05-03
2018-05-04,1277.4511310285961,2018-05-04
2018-05-05,1375.0355149670218,2018-05-05
2018-05-06,1004.8589858985898,2018-05-06
2018-05-07,973.5798830979056,2018-05-07
2018-05-08,917.069610935857,2018-05-08
2018-05-09,925.8585332729742,2018-05-09
2018-05-10,1040.465205288796,2018-05-10
2018-05-11,1284.9064714218234,2018-05-11
2018-05-12,1238.053846153846,2018-05-12
2018-05-13,904.4151452282158,2018-05-13
2018-05-14,906.0455296493484,2018-05-14
2018-05-15,910.0102909865152,2018-05-15
2018-05-16,904.6953846153847,2018-05-16
2018-05-17,916.790277219767,2018-05-17
2018-05-18,1138.3013892826766,2018-05-18
2018-05-19,1186.6543564001433,2018-05-19
2018-05-20,969.8039215686273,2018-05-20
2018-05-21,927.2433841218924,2018-05-21
2018-05-22,927.228125,2018-05-22
2018-05-23,967.105332745703,2018-05-23
2018-05-24,994.7505640511406,2018-05-24
2018-05-25,1192.5431472081218,2018-05-25
2018-05-26,1174.2738654147106,2018-05-26
2018-05-27,951.211252189142,2018-05-27
2018-05-28,940.5034274193547,2018-05-28
2018-05-29,925.219694143976,2018-05-29
2018-05-30,937.6358479863867,2018-05-30
2018-05-31,964.6016701461377,2018-05-31
2018-06-01,1103.8833479789105,2018-06-01
2018-06-02,1097.3074798130046,2018-06-02
2018-06-03,919.1749099246643,2018-06-03
2018-06-04,924.1591051314143,2018-06-04
2018-06-05,928.9027261462204,2018-06-05
2018-06-06,938.483061480552,2018-06-06
2018-06-07,934.0577111183568,2018-06-07
2018-06-08,1062.6610961365677,2018-06-08
2018-06-09,1068.9256904069769,2018-06-09
2018-06-10,940.2123794212217,2018-06-10
2018-06-11,944.810676598386,2018-06-11
2018-06-12,956.3645737149893,2018-06-12
2018-06-13,957.7243470149252,2018-06-13
2018-06-14,963.6129750357768,2018-06-14
2018-06-15,1076.5919080919082,2018-06-15
2018-06-16,1075.1913278218324,2018-06-16
2018-06-17,947.3741403026137,2018-06-17
2018-06-18,930.0807675145024,2018-06-18
2018-06-19,931.8944062219563,2018-06-19
2018-06-20,943.63197586727,2018-06-20
2018-06-21,942.0064063453324,2018-06-21
2018-06-22,1071.337169159954,2018-06-22
2018-06-23,1060.296626984127,2018-06-23
2018-06-24,930.7131258457376,2018-06-24
2018-06-25,911.4057184750733,2018-06-25
2018-06-26,903.1096746077859,2018-06-26
2018-06-27,916.5069474915899,2018-06-27
2018-06-28,930.4124832414717,2018-06-28
2018-06-29,1052.6228330470092,2018-06-29
2018-06-30,1076.8634936374153,2018-06-30
2018-07-01,976.6842270304172,2018-07-01
2018-07-02,967.0759590401956,2018-07-02
2018-07-03,985.5792332764239,2018-07-03
2018-07-04,1021.7348093890461,2018-07-04
2018-07-05,1105.2230189373047,2018-07-05
2018-07-06,1212.880154142582,2018-07-06
2018-07-07,1216.568868980963,2018-07-07
2018-07-08,1027.4412524699803,2018-07-08
2018-07-09,975.6688529368896,2018-07-09
2018-07-10,983.5867636363637,2018-07-10
2018-07-11,990.5894843276036,2018-07-11
2018-07-12,1006.9478850873393,2018-07-12
2018-07-13,1112.3850667449024,2018-07-13
2018-07-14,1112.5085218924478,2018-07-14
2018-07-15,1002.9025049814971,2018-07-15
2018-07-16,989.6188577125764,2018-07-16
2018-07-17,1002.987815245112,2018-07-17
2018-07-18,1006.9327411167512,2018-07-18
2018-07-19,1006.119245389272,2018-07-19
2018-07-20,1082.873340979846,2018-07-20
2018-07-21,1082.8015392172915,2018-07-21
2018-07-22,957.4716832307936,2018-07-22
2018-07-23,957.7747647152656,2018-07-23
2018-07-24,955.6854304635762,2018-07-24
2018-07-25,958.8742731416,2018-07-25
2018-07-26,967.2639328689044,2018-07-26
2018-07-27,1066.9143813775509,2018-07-27
2018-07-28,1062.9234799174471,2018-07-28
2018-07-29,954.9653187944873,2018-07-29
2018-07-30,941.7810990338164,2018-07-30
2018-07-31,871.3791803159465,2018-07-31
2018-08-01,933.945653644804,2018-08-01
2018-08-02,935.9432198597423,2018-08-02
2018-08-03,1077.273566691806,2018-08-03
2018-08-04,1080.2832418569064,2018-08-04
2018-08-05,931.7191603277095,2018-08-05
2018-08-06,941.2386763564675,2018-08-06
2018-08-07,947.2787909028939,2018-08-07
2018-08-08,937.2406927656771,2018-08-08
2018-08-09,939.3164967615835,2018-08-09
2018-08-10,1078.8060648702883,2018-08-10
2018-08-11,1098.3506263547383,2018-08-11
2018-08-12,937.400618137342,2018-08-12
2018-08-13,937.0207269251373,2018-08-13
2018-08-14,933.5027891740572,2018-08-14
2018-08-15,934.2934620459824,2018-08-15
2018-08-16,929.6780263282333,2018-08-16
2018-08-17,1029.1493075502729,2018-08-17
2018-08-18,1037.416900952893,2018-08-18
2018-08-19,913.8411196169469,2018-08-19
2018-08-20,915.1364728555786,2018-08-20
2018-08-21,919.596007668336,2018-08-21
2018-08-22,914.727166599552,2018-08-22
2018-08-23,919.1973610313541,2018-08-23
2018-08-24,1013.201318266964,2018-08-24
2018-08-25,1016.8912399018923,2018-08-25
2018-08-26,899.8190019927331,2018-08-26
2018-08-27,857.3735401871576,2018-08-27
2018-08-28,886.9678309405026,2018-08-28
2018-08-29,884.0484224764083,2018-08-29
2018-08-30,883.3741773280302,2018-08-30
2018-08-31,988.1679371419328,2018-08-31
2018-09-01,1031.5569471211163,2018-09-01
2018-09-02,900.6078321793921,2018-09-02
2018-09-03,898.2071630208357,2018-09-03
2018-09-04,898.5590673198625,2018-09-04
2018-09-05,896.185581522256,2018-09-05
2018-09-06,903.7961755554393,2018-09-06
2018-09-07,1028.2989982223346,2018-09-07
2018-09-08,1031.0546865535118,2018-09-08
2018-09-09,898.4479607685311,2018-09-09
2018-09-10,897.1021567079206,2018-09-10
2018-09-11,889.769118616692,2018-09-11
