date,average_price,date
2017-05-08,101.1040959493098,2017-05-08
2017-05-09,112.76329970982452,2017-05-09
2017-05-10,108.51004234067963,2017-05-10
2017-05-11,109.3300917228423,2017-05-11
2017-05-12,111.67672253258844,2017-05-12
2017-05-13,112.88595564941922,2017-05-13
2017-05-14,108.98611563076255,2017-05-14
2017-05-15,107.40346269818113,2017-05-15
2017-05-16,107.5099112705305,2017-05-16
2017-05-17,107.56342268842268,2017-05-17
2017-05-18,107.58128945462073,2017-05-18
2017-05-19,113.42585820455349,2017-05-19
2017-05-20,111.19194484760523,2017-05-20
2017-05-21,107.49210761441479,2017-05-21
2017-05-22,106.1719779723752,2017-05-22
2017-05-23,106.01684285970256,2017-05-23
2017-05-24,104.64336569579287,2017-05-24
2017-05-25,103.69031677825521,2017-05-25
2017-05-26,105.26947414357409,2017-05-26
2017-05-27,105.25766541151155,2017-05-27
2017-05-28,103.46614463380932,2017-05-28
2017-05-29,102.7792132505176,2017-05-29
2017-05-30,102.51801980198022,2017-05-30
2017-05-31,102.38873283395756,2017-05-31
2017-06-01,103.65545454545456,2017-06-01
2017-06-02,106.13855476999358,2017-06-02
2017-06-03,105.95954289927195,2017-06-03
2017-06-04,102.6733306022122,2017-06-04
2017-06-05,102.60834670947031,2017-06-05
2017-06-06,102.65422571788973,2017-06-06
2017-06-07,102.71607779097387,2017-06-07
2017-06-08,102.29222883847142,2017-06-08
2017-06-09,103.2979860573199,2017-06-09
2017-06-10,103.37732038834952,2017-06-10
2017-06-11,101.88089167334452,2017-06-11
2017-06-12,101.35197158081705,2017-06-12
2017-06-13,101.74138173631631,2017-06-13
2017-06-14,101.12871913905887,2017-06-14
2017-06-15,100.57800805987335,2017-06-15
2017-06-16,101.95518885221857,2017-06-16
2017-06-17,102.25604779947537,2017-06-17
2017-06-18,100.56990715456035,2017-06-18
2017-06-19,100.13016570173687,2017-06-19
2017-06-20,100.06901799894123,2017-06-20
2017-06-21,100.0664201769444,2017-06-21
2017-06-22,99.58404017099815,2017-06-22
2017-06-23,100.6824498917522,2017-06-23
2017-06-24,100.79611720037252,2017-06-24
2017-06-25,99.85621598995395,2017-06-25
2017-06-26,98.501138189609,2017-06-26
2017-06-27,98.71574372818857,2017-06-27
2017-06-28,98.62275330831524,2017-06-28
2017-06-29,98.54600380902343,2017-06-29
2017-06-30,99.50912138206664,2017-06-30
2017-07-01,98.57900756083616,2017-07-01
2017-07-02,96.97235822745584,2017-07-02
2017-07-03,96.55612026207822,2017-07-03
2017-07-04,96.95998291953885,2017-07-04
2017-07-05,97.01063054306887,2017-07-05
2017-07-06,97.3187655974192,2017-07-06
2017-07-07,99.0476161256673,2017-07-07
2017-07-08,99.30156192350263,2017-07-08
2017-07-09,98.35323837350865,2017-07-09
2017-07-10,98.68834655277607,2017-07-10
2017-07-11,99.323434552425,2017-07-11
2017-07-12,99.0117123162325,2017-07-12
2017-07-13,99.19688385269122,2017-07-13
2017-07-14,100.59384792479376,2017-07-14
2017-07-15,101.1464457157888,2017-07-15
2017-07-16,99.18673279603223,2017-07-16
2017-07-17,97.8274775300572,2017-07-17
2017-07-18,97.96093477502615,2017-07-18
2017-07-19,98.13102219156029,2017-07-19
2017-07-20,98.04878048780488,2017-07-20
2017-07-21,99.69903133903135,2017-07-21
2017-07-22,99.56669518106644,2017-07-22
2017-07-23,98.16917462099943,2017-07-23
2017-07-24,97.99645709144079,2017-07-24
2017-07-25,98.12605370401384,2017-07-25
2017-07-26,98.13442586645998,2017-07-26
2017-07-27,98.02757181303896,2017-07-27
2017-07-28,99.500327689787,2017-07-28
2017-07-29,100.05318164498394,2017-07-29
2017-07-30,98.33317240639416,2017-07-30
2017-07-31,97.93910444574905,2017-07-31
2017-08-01,97.44169955132709,2017-08-01
2017-08-02,97.32306943016395,2017-08-02
2017-08-03,97.3316031359827,2017-08-03
2017-08-04,98.65409447971592,2017-08-04
2017-08-05,99.1869616709733,2017-08-05
2017-08-06,97.91440400021507,2017-08-06
2017-08-07,99.40610328638498,2017-08-07
2017-08-08,99.4143371634368,2017-08-08
2017-08-09,99.44603083952028,2017-08-09
2017-08-10,99.59855427172863,2017-08-10
2017-08-11,101.29293903961857,2017-08-11
2017-08-12,101.6369870842382,2017-08-12
2017-08-13,100.2719378427788,2017-08-13
2017-08-14,100.36083715596328,2017-08-14
2017-08-15,100.63341173770868,2017-08-15
2017-08-16,100.11917098445595,2017-08-16
2017-08-17,99.84243899677291,2017-08-17
2017-08-18,101.46175125613956,2017-08-18
2017-08-19,101.69436967249888,2017-08-19
2017-08-20,100.49153769068032,2017-08-20
2017-08-21,99.72468965517241,2017-08-21
2017-08-22,99.72170716989412,2017-08-22
2017-08-23,99.62718818380743,2017-08-23
2017-08-24,99.47021636056459,2017-08-24
2017-08-25,100.88280656022593,2017-08-25
2017-08-26,100.94489290711441,2017-08-26
2017-08-27,99.46286904062784,2017-08-27
2017-08-28,99.53940483112216,2017-08-28
2017-08-29,99.64744298730709,2017-08-29
2017-08-30,99.67324330027431,2017-08-30
2017-08-31,99.48817068018587,2017-08-31
2017-09-01,104.2104318445782,2017-09-01
2017-09-02,104.29459962756052,2017-09-02
2017-09-03,103.16293861973921,2017-09-03
2017-09-04,102.93299051052324,2017-09-04
2017-09-05,103.0823254827074,2017-09-05
2017-09-06,103.08936965811968,2017-09-06
2017-09-07,102.9565850501564,2017-09-07
2017-09-08,104.7331413356518,2017-09-08
2017-09-09,104.6983723571081,2017-09-09
2017-09-10,103.55090938183369,2017-09-10
2017-09-11,103.52016985138005,2017-09-11
2017-09-12,103.56915259619967,2017-09-12
2017-09-13,103.34413342539969,2017-09-13
2017-09-14,102.7719523962689,2017-09-14
2017-09-15,104.38003133610675,2017-09-15
2017-09-16,104.16128508843096,2017-09-16
2017-09-17,102.78277676366369,2017-09-17
2017-09-18,102.948700191775,2017-09-18
2017-09-19,103.08537881202848,2017-09-19
2017-09-20,103.2877318269026,2017-09-20
2017-09-21,103.11720257234728,2017-09-21
2017-09-22,104.22777747974894,2017-09-22
2017-09-23,104.41348423085176,2017-09-23
2017-09-24,103.06014438900095,2017-09-24
2017-09-25,102.76796075535394,2017-09-25
2017-09-26,102.66635170603676,2017-09-26
2017-09-27,102.41258264245985,2017-09-27
2017-09-28,102.33553745239101,2017-09-28
2017-09-29,103.72604782446614,2017-09-29
2017-09-30,103.76506699407464,2017-09-30
2017-10-01,102.16194331983806,2017-10-01
2017-10-02,102.10361484155209,2017-10-02
2017-10-03,102.27733780877956,2017-10-03
2017-10-04,102.37079358423316,2017-10-04
2017-10-05,102.41669727659128,2017-10-05
2017-10-06,104.29746336852057,2017-10-06
2017-10-07,104.42480612031021,2017-10-07
2017-10-08,103.16120176120177,2017-10-08
2017-10-09,103.09730201066886,2017-10-09
2017-10-10,103.07789624037136,2017-10-10
2017-10-11,103.0303726391016,2017-10-11
2017-10-12,102.860796473784,2017-10-12
2017-10-13,104.41713020189535,2017-10-13
2017-10-14,104.47995677455873,2017-10-14
2017-10-15,102.98226841944359,2017-10-15
2017-10-16,102.75485080297888,2017-10-16
2017-10-17,103.13252466277432,2017-10-17
2017-10-18,103.34987692771385,2017-10-18
2017-10-19,103.24581117688372,2017-10-19
2017-10-20,104.8996090617482,2017-10-20
2017-10-21,104.98452105739271,2017-10-21
2017-10-22,103.2699642731344,2017-10-22
2017-10-23,103.15473907338246,2017-10-23
2017-10-24,103.07537460269413,2017-10-24
2017-10-25,103.07759227597305,2017-10-25
2017-10-26,103.12822961696995,2017-10-26
2017-10-27,104.91274730778863,2017-10-27
2017-10-28,104.89681304893351,2017-10-28
2017-10-29,103.43059716397043,2017-10-29
