date,average_price,date
2015-07-18,77.84183994959042,2015-07-18
2015-07-19,75.27263045793397,2015-07-19
2015-07-20,74.21612090680101,2015-07-20
2015-07-21,74.53590886577514,2015-07-21
2015-07-22,74.70694716242663,2015-07-22
2015-07-23,74.40957966764418,2015-07-23
2015-07-24,76.4992628992629,2015-07-24
2015-07-25,76.92058111380145,2015-07-25
2015-07-26,74.49633363886343,2015-07-26
2015-07-27,74.58051044083527,2015-07-27
2015-07-28,75.15251865671642,2015-07-28
2015-07-29,74.56197576887232,2015-07-29
2015-07-30,74.15830291970805,2015-07-30
2015-07-31,76.82835144927536,2015-07-31
2015-08-01,76.37208258527828,2015-08-01
2015-08-02,73.91409978308026,2015-08-02
2015-08-03,73.36796158882585,2015-08-03
2015-08-04,72.78029642545772,2015-08-04
2015-08-05,72.25087565674255,2015-08-05
2015-08-06,72.4270603790216,2015-08-06
2015-08-07,75.08947368421053,2015-08-07
2015-08-08,75.35618801207417,2015-08-08
2015-08-09,73.66528583264292,2015-08-09
2015-08-10,73.37464095199013,2015-08-10
2015-08-11,73.24484748557295,2015-08-11
2015-08-12,73.28312525171164,2015-08-12
2015-08-13,73.67450199203188,2015-08-13
2015-08-14,74.91987306624354,2015-08-14
2015-08-15,75.50517515923566,2015-08-15
2015-08-16,72.73665757693807,2015-08-16
2015-08-17,73.04900039200315,2015-08-17
2015-08-18,72.91581832419733,2015-08-18
2015-08-19,73.13881349360217,2015-08-19
2015-08-20,72.5182453416149,2015-08-20
2015-08-21,75.03917839482693,2015-08-21
2015-08-22,75.72191116088092,2015-08-22
2015-08-23,73.48914204343183,2015-08-23
2015-08-24,74.11787610619469,2015-08-24
2015-08-25,74.25070126227209,2015-08-25
2015-08-26,73.2849142457123,2015-08-26
2015-08-27,73.44911427579021,2015-08-27
2015-08-28,76.4963452836756,2015-08-28
2015-08-29,76.67383145684067,2015-08-29
2015-08-30,74.38066465256797,2015-08-30
2015-08-31,74.28794940079894,2015-08-31
2015-09-01,74.62332761578044,2015-09-01
2015-09-02,74.3060013956734,2015-09-02
2015-09-03,74.48653437278526,2015-09-03
2015-09-04,75.83465132997844,2015-09-04
2015-09-05,75.1679856115108,2015-09-05
2015-09-06,73.30788091068301,2015-09-06
2015-09-07,73.28447377561653,2015-09-07
2015-09-08,73.37013888888889,2015-09-08
2015-09-09,73.54775086505191,2015-09-09
2015-09-10,73.37859369587808,2015-09-10
2015-09-11,75.21218414676359,2015-09-11
2015-09-12,75.08942807625651,2015-09-12
2015-09-13,73.64679986454453,2015-09-13
2015-09-14,73.9375629405841,2015-09-14
2015-09-15,73.74150566289141,2015-09-15
2015-09-16,74.0977718656468,2015-09-16
2015-09-17,73.72395487723955,2015-09-17
2015-09-18,75.72073578595318,2015-09-18
2015-09-19,75.89507207509219,2015-09-19
2015-09-20,74.16610850636303,2015-09-20
2015-09-21,74.44919246298787,2015-09-21
2015-09-22,74.06695975650997,2015-09-22
2015-09-23,74.12106537530266,2015-09-23
2015-09-24,73.69121813031161,2015-09-24
2015-09-25,74.74015178894109,2015-09-25
2015-09-26,74.59120171673821,2015-09-26
2015-09-27,73.11265646731572,2015-09-27
